source	interaction	target
PGR	upregulates-expression	IRS2
NRG1	upregulates-expression	UTRN
NRG1	upregulates-expression	CHRNE
TBP	upregulates-expression	GTF2A1
GTF2A1	upregulates-expression	TBP
REL	upregulates-expression	NOS2
PAX6	upregulates-expression	KRT12
ISL1	upregulates-expression	NHLH1
RARA	upregulates-expression	KRAS
RUNX1	upregulates-expression	KRAS
ZBTB14	downregulates-expression	MYC
MYB	upregulates-expression	EPO
MYC	upregulates-expression	EPO
SP1	upregulates-expression	NF1
TP53	upregulates-expression	EIF2AK2
PITX1	upregulates-expression	LHB
EGR1	upregulates-expression	LHB
EGR1	upregulates-expression	PRKCG
SP1	upregulates-expression	MYOD1
MYOD1	downregulates-expression	SP1
FOS	upregulates-expression	TP53
TP53	downregulates-expression	FOS
ETS2	upregulates-expression	BCL2L1
GTF2I	upregulates-expression	FOS
GTF2I	upregulates-expression	SMARCA4
SP1	upregulates-expression	FOS
YY1	downregulates-expression	FOS
SP1	upregulates-expression	EGR1
EGR1	upregulates-expression	SP1
NR2F1	upregulates-expression	EGR1
BTAF1	downregulates-expression	TBP
TBP	upregulates-expression	BTAF1
TBP	upregulates-expression	DNAH8
MYC	upregulates-expression	ENO1
ENO1	downregulates-expression	MYC
TP53	downregulates-expression	CCND1
IRF2	upregulates-expression	ABCC8
IRF2	upregulates-expression	SMC3
FOS	upregulates-expression	RHOA
JDP2	upregulates-expression	LGALS1
JUN	upregulates-expression	DCTN1
MAZ	upregulates-expression	PNMT
SP1	upregulates-expression	PNMT
NFIC	upregulates-expression	PCK1
CREB1	upregulates-expression	PCK1
NR4A1	upregulates-expression	PCK1
HMGA1	upregulates-expression	NOS2
RELA	upregulates-expression	NOS2
NFKB1	upregulates-expression	NOS2
USF1	upregulates-expression	USF1
CEBPB	upregulates-expression	DDIT3
DDIT3	downregulates-expression	CEBPB
ATF4	upregulates-expression	DDIT3
DDIT3	upregulates-expression	ATF4
ATF3	upregulates-expression	ATF4
ATF4	upregulates-expression	ATF3
ATF3	upregulates-expression	DDIT3
TAF1	upregulates-expression	CCNA2
RUNX2	upregulates-expression	BGLAP
TFAP2A	upregulates-expression	FABP2
TFAP2B	upregulates-expression	FABP2
ATF2	upregulates-expression	SELE
HMGA1	upregulates-expression	SELE
HNF1A	upregulates-expression	LCT
CREM	upregulates-expression	LIPE
SMAD4	upregulates-expression	SERPINE1
SMAD3	upregulates-expression	SERPINE1
STAT1	upregulates-expression	IRF8
IRF8	downregulates-expression	STAT1
IRF8	upregulates-expression	IFNG
MAZ	upregulates-expression	MAZ
TP53	upregulates-expression	S100A2
PAX6	upregulates-expression	GCG
TP53	upregulates-expression	BAX
TP53	upregulates-expression	CCNG1
TP53	upregulates-expression	CHKA
TP53	upregulates-expression	GADD45A
ETV5	upregulates-expression	IFNG
STAT4	upregulates-expression	IFNG
DMTF1	upregulates-expression	CDKN2A
TP53	upregulates-expression	CDKN2A
PPARG	upregulates-expression	LPL
SP1	upregulates-expression	NPR1
SP3	upregulates-expression	NPR1
NR5A1	upregulates-expression	CYP17A1
SP1	upregulates-expression	RAC2
SP3	upregulates-expression	RAC2
NEUROD2	upregulates-expression	ITPR1
RUNX1	upregulates-expression	FOS
NEUROD1	upregulates-expression	AK1
HHEX	upregulates-expression	HHEX
FOXO3	upregulates-expression	FASLG
USF1	upregulates-expression	ADGRE4P
USF1	upregulates-expression	FASN
USF1	upregulates-expression	INS
MBD1	upregulates-expression	FGF2
CEBPD	upregulates-expression	IGF1
ELK1	upregulates-expression	SOD1
YY1	upregulates-expression	SOD1
FLI1	upregulates-expression	GP9
FLI1	upregulates-expression	ITGA2B
EGR1	upregulates-expression	ELK1
ELK1	upregulates-expression	EGR1
ELK4	upregulates-expression	EGR1
PREB	upregulates-expression	PRL
PREB	upregulates-expression	PRKACA
POU1F1	upregulates-expression	POU1F1
POU1F1	upregulates-expression	PRL
POU1F1	upregulates-expression	PREB
PREB	upregulates-expression	POU1F1
POU1F1	upregulates-expression	PRKACA
PREB	upregulates-expression	PREB
STAT3	upregulates-expression	POMC
TP53	downregulates-expression	PTGS2
TBP	upregulates-expression	PTGS2
TP53	upregulates-expression	TICAM2
TBP	upregulates-expression	RB1
PAX5	upregulates-expression	RB1
CREB1	upregulates-expression	CHGA
TFAP2A	upregulates-expression	ST3GAL4
SP1	upregulates-expression	CLCN2
SP3	upregulates-expression	CLCN2
CEBPG	upregulates-expression	NOS2
CEBPB	upregulates-expression	NOS2
CEBPA	upregulates-expression	ALB
TP53	upregulates-expression	ALOX15
LITAF	upregulates-expression	TNF
IRF1	upregulates-expression	IFNL3
IRF2	upregulates-expression	IFNL3
IRF3	upregulates-expression	IFNL3
RELA	upregulates-expression	IFNL3
IRF2	upregulates-expression	IRF2
CREB1	upregulates-expression	CCND1
STAT1	upregulates-expression	IFNG
STAT6	downregulates-expression	IFNG
JUN	upregulates-expression	IL6
EGR1	upregulates-expression	IL1B
EGR1	upregulates-expression	IL1A
HIF1A	upregulates-expression	EPO
HLF	upregulates-expression	EPO
MYC	upregulates-expression	CDC25A
TFAP2A	upregulates-expression	NQO1
FOS	upregulates-expression	TGFB1
TP53	downregulates-expression	MMP1
SPI1	upregulates-expression	REG1A
POU1F1	upregulates-expression	GHRHR
ARNT	upregulates-expression	EPO
TP73	upregulates-expression	MDM2
TP73	upregulates-expression	TP53
TP53	upregulates-expression	TP73
MYC	upregulates-expression	EMP1
ESR1	upregulates-expression	EMP1
KLF11	upregulates-expression	HBG1
KLF11	upregulates-expression	HBB
NFATC2	upregulates-expression	TAT
TCF4	upregulates-expression	SSTR2
HIVEP2	upregulates-expression	SSTR2
ESR1	upregulates-expression	CRYAB
TP73	upregulates-expression	CDKN1A
E2F4	downregulates-expression	E2F1
RUNX1	upregulates-expression	BCL2
POU1F1	upregulates-expression	TRHR
YY1	upregulates-expression	ACR
CREM	downregulates-expression	FSHB
SP1	upregulates-expression	CDKN1A
GATA5	upregulates-expression	MYH7
GATA4	upregulates-expression	MYH7
GATA4	upregulates-expression	SLC8A1
SRF	upregulates-expression	SLC8A1
ELF1	upregulates-expression	IL5
ETS2	upregulates-expression	IL5
GATA3	upregulates-expression	IL5
ETS1	upregulates-expression	IL5
SP1	upregulates-expression	TGFB1
TBP	upregulates-expression	CREBBP
MSX1	downregulates-expression	MSX1
RUNX2	upregulates-expression	RUNX2
OTX2	upregulates-expression	NCAM1
LHX2	upregulates-expression	PCYT1A
SP1	upregulates-expression	PCYT1A
DDIT3	upregulates-expression	HSPA5
FOS	upregulates-expression	OXTR
GABPA	upregulates-expression	OXTR
JUN	upregulates-expression	OXTR
TP53	upregulates-expression	NGF
REL	upregulates-expression	IL2RA
FOS	upregulates-expression	AGTR2
HSF2	upregulates-expression	HSP90B2P
SP1	upregulates-expression	LDLR
YY1	downregulates-expression	LDLR
CEBPA	upregulates-expression	PCK1
WT1	upregulates-expression	CDKN1A
VDR	upregulates-expression	RARB
HOXC8	upregulates-expression	SMAD1
HR	upregulates-expression	IGFBP1
ATF1	upregulates-expression	CAT
RELB	upregulates-expression	SRC
FOS	upregulates-expression	ERCC1
YY1	downregulates-expression	CXCR4
MYC	upregulates-expression	CXCR4
USF1	upregulates-expression	CXCR4
CUX1	upregulates-expression	NOS2
CUX1	upregulates-expression	PI3
CREB1	upregulates-expression	ANG
NR5A1	upregulates-expression	NR5A1
NR5A1	upregulates-expression	SF1
TP53	upregulates-expression	ITSN1
CEBPE	upregulates-expression	ELANE
DDIT3	upregulates-expression	EPO
NR5A1	upregulates-expression	LHB
NR0B1	downregulates-expression	LHB
ATF2	upregulates-expression	TNF
JUN	upregulates-expression	TNF
GATA4	upregulates-expression	ADORA1
NKX2-5	upregulates-expression	ADORA1
AR	upregulates-expression	ACOT11
GATA4	upregulates-expression	ACOT11
GATA4	upregulates-expression	AR
NKX2-5	upregulates-expression	ACOT11
NKX2-5	upregulates-expression	AR
CEBPB	upregulates-expression	KRAS
YY1	downregulates-expression	HMGCS2
LEF1	upregulates-expression	CCND1
PAX6	upregulates-expression	SST
CEBPB	upregulates-expression	STAR
NR5A1	upregulates-expression	STAR
POU1F1	upregulates-expression	FOS
POU1F1	upregulates-expression	SSTR5
EGR1	upregulates-expression	CISH
NR5A1	upregulates-expression	RHD
SRF	upregulates-expression	FOS
FOS	upregulates-expression	TF
ID1	downregulates-expression	FOS
ZNF143	upregulates-expression	STUB1
MYC	downregulates-expression	CDKN1A
JUN	upregulates-expression	IL2
SOX9	upregulates-expression	MIA
IRF2	upregulates-expression	CDKN1A
IRF1	upregulates-expression	IFNA1
IRF2	upregulates-expression	IFNA1
IRF1	upregulates-expression	IRF2
IRF2	upregulates-expression	IRF1
LITAF	upregulates-expression	MDM2
LITAF	upregulates-expression	MRPL41
LITAF	upregulates-expression	PIK3R1
TP53	upregulates-expression	LITAF
LITAF	upregulates-expression	TP53
TP53	upregulates-expression	BTG2
TP53	upregulates-expression	GREM1
TP53	upregulates-expression	MRPL41
TP53	upregulates-expression	PIK3R1
SP3	upregulates-expression	CDKN1A
TP53	upregulates-expression	PCNA
STAT1	downregulates-expression	IFNB1
AR	upregulates-expression	AR
JUN	upregulates-expression	ATF2
ATF2	upregulates-expression	JUN
ATF2	upregulates-expression	TNFRSF11A
JUN	upregulates-expression	TNFRSF11A
YBX1	upregulates-expression	ERCC2
YBX1	upregulates-expression	ERCC3
YBX1	upregulates-expression	XRCC1
HSF1	upregulates-expression	CXCL8
HSF1	upregulates-expression	ICAM1
HSF1	upregulates-expression	IL6
HSF1	upregulates-expression	TNF
HSF1	upregulates-expression	IL1B
PPARA	upregulates-expression	UCP3
REL	upregulates-expression	JAG1
RELA	upregulates-expression	JAG1
HES1	upregulates-expression	FCER1G
EGR1	upregulates-expression	F3
SRF	upregulates-expression	EGR1
EGR1	upregulates-expression	SRF
SP1	upregulates-expression	SP1
FOXE1	upregulates-expression	TPO
POU4F1	upregulates-expression	BCL2
NOTO	upregulates-expression	BTK
HNF4A	upregulates-expression	SERPINA1
HNF1A	upregulates-expression	SERPINA1
HNF1B	upregulates-expression	SERPINA1
SOX9	upregulates-expression	EPYC
SRF	upregulates-expression	SRF
PAX3	upregulates-expression	FGF2
ID2	upregulates-expression	HBG1
JUN	upregulates-expression	CSF2
NFATC2	upregulates-expression	CSF2
VDR	downregulates-expression	CSF2
MEF2A	upregulates-expression	JUN
GATA6	upregulates-expression	NPPA
SP140	upregulates-expression	IFNG
RUNX2	upregulates-expression	MMP13
YBX1	downregulates-expression	MMP13
FLI1	upregulates-expression	EPO
FLI1	upregulates-expression	RB1
FLI1	upregulates-expression	CFC1
CEBPE	upregulates-expression	CEBPE
PDX1	upregulates-expression	CHKA
PDX1	upregulates-expression	INS
HNF1A	upregulates-expression	HNF4A
HNF4A	upregulates-expression	HNF1A
NR2F2	upregulates-expression	HNF1A
HNF1A	upregulates-expression	INS
NR1H4	downregulates-expression	CYP7A1
ASCL1	upregulates-expression	NGF
HES1	upregulates-expression	NGF
RFX1	downregulates-expression	PCNA
CRX	upregulates-expression	SAG
NRL	upregulates-expression	SAG
E2F1	upregulates-expression	DHFR
TBP	upregulates-expression	DHFR
PAX5	upregulates-expression	IL2
USF1	upregulates-expression	JCHAIN
NR5A1	upregulates-expression	GRIN2C
JDP2	upregulates-expression	POLI
UBTF	upregulates-expression	POLI
JUN	upregulates-expression	THBS1
WT1	upregulates-expression	THBS1
SP1	upregulates-expression	IGFBP4
ESR2	upregulates-expression	PRL
NR5A1	upregulates-expression	CTLA4
MYBL2	upregulates-expression	BCL2
ELF2	upregulates-expression	TEK
ELF1	upregulates-expression	CD4
AR	upregulates-expression	NCOA4
NCOA4	upregulates-expression	AR
NR2C2	downregulates-expression	CYP24A1
TP53	upregulates-expression	NDN
JUND	upregulates-expression	JUND
ZNF571	upregulates-expression	TRIM28
MAX	upregulates-expression	TP53
MYC	upregulates-expression	TP53
TP53	downregulates-expression	MYC
TP53	upregulates-expression	NFKB1
NFKB1	upregulates-expression	TP53
TP53	upregulates-expression	RELA
RELA	upregulates-expression	TP53
CRX	upregulates-expression	GRB10
JUN	upregulates-expression	GSC
JUN	upregulates-expression	GHRHR
TP63	upregulates-expression	IL12B
NFKBIB	upregulates-expression	NOS2
NR2F2	upregulates-expression	ALDH2
AHR	upregulates-expression	ALDH3A1
OTX2	upregulates-expression	GRB10
HOXC6	upregulates-expression	NCAM1
HR	upregulates-expression	NCAM1
FOXO1	upregulates-expression	IGFBP1
STAT1	upregulates-expression	CSN2
STAT5A	upregulates-expression	CSN2
STAT5B	upregulates-expression	CSN2
GATA4	upregulates-expression	FGF3
IRF1	upregulates-expression	CCL4
IRF8	upregulates-expression	IRF8
IRF8	upregulates-expression	SAMHD1
TP53	upregulates-expression	PGAM2
SPI1	upregulates-expression	UTRN
AHR	upregulates-expression	CYP1A1
PITX2	upregulates-expression	SIGLEC1
NR5A2	downregulates-expression	CYP7A1
STAT1	upregulates-expression	SOCS3
STAT3	upregulates-expression	SOCS3
POU2F1	upregulates-expression	IL5
YY1	upregulates-expression	IL5
SP1	upregulates-expression	CCND3
RARA	upregulates-expression	PLAU
SP1	upregulates-expression	PLAU
NFYA	upregulates-expression	NFYA
LEF1	upregulates-expression	MMP7
SPI1	upregulates-expression	BTK
SP1	upregulates-expression	BTK
SP3	upregulates-expression	BTK
SP1	upregulates-expression	SP3
SP3	upregulates-expression	SP1
XBP1	upregulates-expression	EGFR
STAT6	upregulates-expression	IL4
STAT6	upregulates-expression	SELP
SREBF1	upregulates-expression	APOA2
SP1	upregulates-expression	SLC2A1
CEBPB	upregulates-expression	FSHB
GATA4	upregulates-expression	STAR
EGR1	downregulates-expression	MMP12
TCF3	upregulates-expression	EMC7
CEBPG	upregulates-expression	HP
LRRFIP1	downregulates-expression	PDGFA
EGR1	upregulates-expression	PDGFA
SP1	upregulates-expression	PDGFA
JUN	upregulates-expression	JUN
TP53	downregulates-expression	IL6
NEUROD1	upregulates-expression	NEUROD1
TCF12	upregulates-expression	NEUROD1
JUN	downregulates-expression	ABCB1
RELA	upregulates-expression	CD40LG
IKZF3	upregulates-expression	BCL2
SP1	upregulates-expression	ABCC8
STAT5A	upregulates-expression	GH1
STAT5A	upregulates-expression	INS
STAT5A	upregulates-expression	PRL
STAT5A	upregulates-expression	PRLR
STAT5B	upregulates-expression	GH1
STAT5B	upregulates-expression	INS
STAT5B	upregulates-expression	PRL
STAT5B	upregulates-expression	PRLR
NFKBIB	upregulates-expression	PLG
E4F1	upregulates-expression	PVR
SP1	downregulates-expression	CEBPA
CEBPB	upregulates-expression	SP1
SP1	upregulates-expression	CEBPD
CEBPD	upregulates-expression	SP1
GTF2I	upregulates-expression	BTK
NR3C1	downregulates-expression	BCL2
HOXB1	upregulates-expression	CD1A
STAT6	upregulates-expression	CREBBP
RBPJ	upregulates-expression	IL6
SP1	upregulates-expression	ODC1
SP3	downregulates-expression	ODC1
JUN	downregulates-expression	IGFBP1
MYC	upregulates-expression	ACTB
MYC	upregulates-expression	BRCA1
BRCA1	upregulates-expression	MYC
NR5A1	upregulates-expression	CYP19A1
ENO1	upregulates-expression	IL6
XBP1	downregulates-expression	IL6
ZNF362	upregulates-expression	NODAL
PPARA	downregulates-expression	VCAM1
ESR1	upregulates-expression	NRIP1
MYC	upregulates-expression	BIN1
MYC	upregulates-expression	ODC1
MYC	upregulates-expression	PTMA
NRF1	upregulates-expression	CXCR4
GATA1	upregulates-expression	BCL2L1
MYCN	downregulates-expression	NDRG1
MYC	downregulates-expression	NDRG1
MAX	downregulates-expression	NDRG1
HOXB1	upregulates-expression	HOXB1
PKNOX1	upregulates-expression	HOXB1
NR4A3	upregulates-expression	IL2
NR4A3	upregulates-expression	IL4
NR4A3	upregulates-expression	ITK
NR4A3	upregulates-expression	CD28
TP63	upregulates-expression	CDKN1A
NRG1	upregulates-expression	PXN
SSRP1	upregulates-expression	MAPK8
SSRP1	upregulates-expression	TRAF1
SP1	upregulates-expression	CYP11A1
MAZ	upregulates-expression	MYC
ZNF91	downregulates-expression	MYC
TBP	upregulates-expression	ACHE
SSRP1	upregulates-expression	INS
ESR1	upregulates-expression	COMT
SPI1	upregulates-expression	TIMP1
POU1F1	upregulates-expression	GH1
NR2C1	downregulates-expression	HRH1
ATF1	upregulates-expression	EGR1
CREB1	upregulates-expression	EGR1
ATF1	upregulates-expression	MAP2K2
ID3	upregulates-expression	BMP4
ID2	upregulates-expression	ID3
ID3	upregulates-expression	ID2
ERF	upregulates-expression	CRYAA
JUN	upregulates-expression	CRYAA
EGR1	upregulates-expression	ABCB1
ZNF354C	upregulates-expression	ABCB1
WT1	upregulates-expression	ABCB1
USF1	upregulates-expression	PDX1
YY1	upregulates-expression	CETP
SREBF1	upregulates-expression	CETP
EGR1	upregulates-expression	EGF
EGR1	upregulates-expression	TKT
ELF1	downregulates-expression	FCGRT
ELF1	upregulates-expression	IGHE
GATA1	upregulates-expression	FCGRT
GATA1	upregulates-expression	IGHE
HMGA1	upregulates-expression	LY6E
HMGA2	upregulates-expression	LY6E
POU2F1	upregulates-expression	LY6E
POU2F2	upregulates-expression	LY6E
GATA1	upregulates-expression	EPB42
PHOX2B	upregulates-expression	PHOX2B
PHOX2B	upregulates-expression	DBH
PHOX2B	upregulates-expression	FOS
POU1F1	upregulates-expression	PRDX6
SP1	upregulates-expression	PRDX6
CREB1	upregulates-expression	MYB
SREBF2	upregulates-expression	KPNB1
AHR	upregulates-expression	CDKN1B
EGR1	downregulates-expression	EGR1
ELF1	upregulates-expression	LYZ
ELF4	upregulates-expression	LYZ
SREBF1	upregulates-expression	SCD5
TP53	upregulates-expression	GABRA6
TP53	upregulates-expression	TUBB3
TTF1	upregulates-expression	SLC5A5
DLX4	upregulates-expression	GATA1
STAT1	upregulates-expression	CD40
NR0B1	downregulates-expression	STAR
AR	upregulates-expression	STAR
NR1I2	upregulates-expression	CYP3A4
HNF1A	upregulates-expression	CYP7A1
NR1H3	upregulates-expression	CYP7A1
NR2F2	upregulates-expression	CYP7A1
IRF1	upregulates-expression	TNF
MITF	upregulates-expression	TPSB2
STAT5A	upregulates-expression	HSD3B2
MAX	upregulates-expression	STAT5A
CREB1	upregulates-expression	PRL
NCOA1	upregulates-expression	PRL
NR4A1	upregulates-expression	PRL
VDR	upregulates-expression	PRL
NCOR1	upregulates-expression	MYOD1
STAT1	upregulates-expression	IFNA1
WT1	downregulates-expression	WT1
WT1	upregulates-expression	BCL2
FOS	downregulates-expression	CLU
FOSL1	upregulates-expression	CLU
JUNB	upregulates-expression	CLU
CREB1	upregulates-expression	TH
JUN	downregulates-expression	SFTPB
PAX6	upregulates-expression	UNC5C
ASCL1	upregulates-expression	EHD1
MTF2	upregulates-expression	ACE2
CREM	upregulates-expression	INS
CREM	upregulates-expression	TAF4
TBP	upregulates-expression	INS
SREBF1	upregulates-expression	PPARG
PPARG	upregulates-expression	SREBF1
PPARG	downregulates-expression	SREBF2
SREBF2	upregulates-expression	PPARG
ESR1	upregulates-expression	CKB
ESR2	upregulates-expression	OXT
PAX3	upregulates-expression	PAX3
PAX3	downregulates-expression	PDGFRA
CEBPG	upregulates-expression	HPN
SP1	upregulates-expression	HPN
TFAP2A	upregulates-expression	HPN
SP1	upregulates-expression	ABCB1
YBX1	upregulates-expression	ABCB1
JUN	upregulates-expression	SPI1
SPI1	upregulates-expression	JUN
USF1	upregulates-expression	SPP1
HIF1A	upregulates-expression	VEGFA
SMAD4	upregulates-expression	CDKN1A
PDX1	upregulates-expression	S100G
VDR	upregulates-expression	S100G
DNMT1	upregulates-expression	CFTR
KLF5	upregulates-expression	MYH10
KLF5	upregulates-expression	GZMA
ESR1	upregulates-expression	C3
NR3C1	upregulates-expression	CSN2
NR3C2	upregulates-expression	CSN2
PGR	downregulates-expression	CSN2
EGR1	upregulates-expression	TNF
TBP	upregulates-expression	SNAP25
IRF1	upregulates-expression	IL18
STAT5A	upregulates-expression	IL4
STAT5B	upregulates-expression	IL4
SP1	upregulates-expression	FN1
DLX4	upregulates-expression	THEG
ZBTB12	upregulates-expression	THEG
DLX4	upregulates-expression	FN1
FOS	upregulates-expression	FN1
JUN	upregulates-expression	FN1
MYC	downregulates-expression	FN1
ZBTB12	upregulates-expression	FN1
PPARG	upregulates-expression	FABP4
PDX1	upregulates-expression	PRKCG
PDX1	upregulates-expression	PSMA5
STAT5A	upregulates-expression	BCL2L1
SP1	upregulates-expression	LEP
STAT5A	upregulates-expression	OSM
EGR1	upregulates-expression	MMP14
ESR1	upregulates-expression	SPP1
ESR2	upregulates-expression	SPP1
MYRF	upregulates-expression	COL5A2
PPARG	upregulates-expression	CD36
POU2F2	upregulates-expression	TGFA
PDX1	upregulates-expression	GFAP
STAT1	upregulates-expression	PTGS2
STAT5A	upregulates-expression	PTGS2
SSRP1	upregulates-expression	HES1
SSRP1	upregulates-expression	HES5
SSRP1	upregulates-expression	NOTCH3
CEBPB	downregulates-expression	IL6
TP53	upregulates-expression	PVR
PAX5	upregulates-expression	CD79A
PAX5	upregulates-expression	RAG2
PAX5	upregulates-expression	EBF1
EBF1	upregulates-expression	PAX5
TP53	upregulates-expression	CREBBP
CREBBP	upregulates-expression	TP53
ETS1	upregulates-expression	PARP1
TP53	upregulates-expression	ACHE
TP53	upregulates-expression	AQP1
TP73	upregulates-expression	AQP1
TP73	upregulates-expression	CREBBP
TP73	upregulates-expression	GADD45A
POU2F1	downregulates-expression	CXCL8
POU2F1	downregulates-expression	HLA-DRA
ETS1	upregulates-expression	MGAT5
JUN	upregulates-expression	MGAT5
NFYA	downregulates-expression	CDK1
CEBPG	upregulates-expression	CD14
CEBPB	upregulates-expression	PRG2
GATA1	upregulates-expression	PRG2
GATA1	upregulates-expression	MBP
ZFPM1	upregulates-expression	MBP
CEBPG	upregulates-expression	MBP
CEBPB	upregulates-expression	MBP
PDX1	upregulates-expression	GCG
PDX1	upregulates-expression	PIK3C3
CEBPB	upregulates-expression	HSP90AA1
STAT3	upregulates-expression	HSP90AA1
STAT1	downregulates-expression	HSP90AA1
STAT1	upregulates-expression	HSPA4
HSF1	upregulates-expression	HSP90AA1
HSF1	upregulates-expression	HSPA4
STAT3	upregulates-expression	HSPA4
APEX1	upregulates-expression	APEX1
CEBPB	upregulates-expression	HP
CEBPB	upregulates-expression	MAPK1
STAT3	upregulates-expression	HP
TEAD2	upregulates-expression	TP53
HIF1A	upregulates-expression	TFRC
MYC	upregulates-expression	HSPA4
SP1	upregulates-expression	PSEN1
NR0B1	upregulates-expression	NR0B1
NR0B1	downregulates-expression	NR5A1
NR5A1	upregulates-expression	NR0B1
ESR1	upregulates-expression	TNFRSF11A
SP1	upregulates-expression	SLC25A5
SP1	upregulates-expression	TNFRSF11A
ESR1	upregulates-expression	E2F1
SP1	upregulates-expression	E2F1
SP3	upregulates-expression	CYP11A1
TFAP2A	upregulates-expression	CYP11A1
SP1	upregulates-expression	SPI1
SPI1	upregulates-expression	SP1
