	TF_1	TF_2	TF_3	TF_4	TF_5	TF_6	TF_7	TF_8	TF_9	TF_10	TF_11	TF_12	TF_13	TF_14	TF_15	TF_16	TF_17	TF_18	TF_19	TF_20	TF_21	TF_22	TF_23	TF_24	TF_25	TF_26	TF_27	TF_28	TF_29	TF_30	TF_31	TF_32	TF_33	TF_34	TF_35	TF_36	TF_37	TF_38	TF_39	TF_40	TF_41	TF_42	TF_43	TF_44	TF_45	TF_46	TF_47	TF_48	TF_49	TF_50
Cell_11	0	0	0	0	0	0	0	-1	1	0	-1	1	0	0	0	0	0	0	0	0	0	-1	1	0	1	0	0	-1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0
Cell_12	0	0	0	0	0	0	0	0	0	0	1	0	0	-1	0	1	1	-1	0	0	0	-1	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	0	0	1	1	-1	0	1	0	0	-1	0	0
Cell_13	1	1	1	0	0	-1	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	-1	1	1	0	0	0	0	0	-1	0	0	0	0	0	0	1	0	0	1	0	-1	-1	0
Cell_14	-1	-1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1	1	0	0	1	-1	0	0	0	0	0	-1	0	-1	0	0	0	0	0	0	1	0	0	1	0	-1	0	0
Cell_15	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	-1	-1	0	0	0	0	0	-1	0	0	0	0	-1	0	0	-1	0	0	0	0	-1	0	0	0	-1	0	0	0	0	0	1	0	-1	0	1
Cell_16	0	0	1	0	0	0	0	-1	0	0	0	0	0	0	-1	0	0	0	0	1	0	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	-1	0	0	1	0	0	0	1	0	0	1	-1	-1	0	0
Cell_17	0	0	0	0	-1	0	0	-1	1	0	-1	0	0	0	0	-1	0	0	-1	0	0	0	1	0	1	0	0	-1	-1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	-1	0	0	0
Cell_18	1	0	0	0	0	0	1	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	-1	-1	0	0	0	1	0	0	0	1	1	0	0	1	0	0	1	0	-1	1	0	1	1	0	0	0	0	0	-1
Cell_19	0	0	0	-1	0	0	0	-1	0	0	1	0	0	1	0	1	1	-1	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	1	1	0	1	0	0	-1	-1	0
Cell_20	0	0	0	-1	0	-1	0	0	1	0	-1	0	-1	0	0	0	0	0	1	0	0	-1	1	1	1	0	0	-1	0	0	-1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0
Cell_21	0	0	0	-1	0	0	0	0	1	0	-1	0	-1	0	0	0	0	0	0	-1	-1	0	1	0	1	0	0	-1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0
Cell_22	1	-1	0	0	0	-1	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	0	1	0	0	0	0	1	-1	0	1	0	0	1	0	0	1	0	1
Cell_23	0	0	0	0	0	-1	1	0	0	-1	0	0	-1	0	-1	0	0	0	0	0	0	0	-1	0	0	-1	1	0	0	0	0	1	-1	0	1	0	0	0	0	0	0	0	0	1	0	-1	0	0	0	-1
Cell_24	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	-1	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	1	1	0	0	1	0	0	0	0	0
Cell_25	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	-1	0	0	0	0	-1	-1	0	-1	0	0	-1	-1	0	0	1	0	0	0	-1	0	0	0	-1	0	0	1	0	-1	0	0	-1	0	0
Cell_26	0	0	1	0	-1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	0	-1	0	0	0	0	0	0	1	0	0	0	0	-1	0	0
Cell_27	0	0	0	0	0	0	0	0	1	-1	-1	1	0	-1	0	0	0	0	-1	0	0	0	0	0	1	0	0	-1	0	0	-1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	-1
Cell_28	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	-1	1	1	-1	0	1	0	-1	0	0	-1	0	0	-1	0	-1	0	0	0	1	0	0	-1	-1	0	0	1	0	0	0	1	0	0	0	0	0
Cell_29	0	0	0	0	0	0	0	1	1	0	-1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	-1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	-1	-1	1	0
Cell_30	0	0	0	0	0	0	0	0	1	0	-1	-1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	-1	0	0	0	0	0	0	1	1	0	1	0	0	0	-1	0	0	0	1	-1	-1	0	0
Cell_31	0	0	0	0	0	0	-1	0	1	0	-1	0	-1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	-1	0	0	0	0	-1	1	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0
Cell_32	0	0	0	0	0	-1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	-1	0	0	0	0	0	-1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1
Cell_33	1	-1	0	0	0	0	1	0	0	0	0	0	-1	0	1	0	-1	0	-1	0	0	0	0	0	0	0	1	0	0	-1	0	0	0	0	1	0	0	1	0	-1	0	0	0	1	0	0	0	1	0	-1
Cell_34	0	0	0	0	0	0	0	0	1	0	-1	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	-1	0	0	-1	0	0	0	1	1	0	-1	0	0	0	0	0	0	-1	0	-1	-1	0	0
Cell_35	0	0	-1	0	0	0	0	0	0	-1	0	1	0	-1	0	1	1	-1	0	0	0	0	0	-1	-1	0	0	0	0	0	1	0	0	0	0	0	-1	-1	0	0	1	1	0	0	1	0	0	0	0	0
Cell_36	0	0	1	0	0	0	1	0	-1	0	-1	0	-1	0	0	-1	0	0	0	0	1	0	-1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	-1	0	0	0	1	1	0	0	0	1	-1
Cell_37	0	0	0	0	0	0	0	1	0	-1	0	0	0	0	0	1	0	-1	0	0	-1	-1	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	-1	0	-1	1	1	-1	0	1	1	-1	0	0	0
Cell_38	0	0	0	-1	-1	0	1	0	0	0	1	0	0	1	-1	1	1	-1	0	0	0	-1	0	0	-1	0	0	0	0	1	0	0	0	0	0	0	0	-1	0	0	1	1	-1	-1	1	0	0	0	0	0
Cell_39	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	1	0	0	0	0	0	1	0	0	-1	0	0	-1	0	0	0	0	-1	0	1	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	1
Cell_40	0	0	1	-1	0	1	0	-1	1	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	0	0	0	0	-1	0	0	0	1	-1	0	-1	-1	0	-1	0	0	-1	0	1	0	0	1	0	0	0	0
Cell_41	0	0	-1	0	1	0	1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	-1	0	0	1	1	0	-1	0	0	0	-1	0	1	0	0	1	0	-1	0	0	0	0	-1	0	0	0	-1	-1
Cell_42	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	1	0	0	1	0	-1	0	0	0	0	0	0	1	0	0	1	0	-1	0	0
Cell_43	0	0	1	0	0	0	0	0	0	0	1	1	-1	0	0	0	0	0	0	0	-1	0	-1	-1	0	0	0	-1	0	0	0	1	0	0	0	-1	0	0	0	0	0	-1	1	0	0	1	0	-1	0	0
Cell_44	0	0	0	0	0	-1	-1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	-1	0	0	-1	-1	0	0	0	0	0	1	0	0	-1	0	1	0	0	1	0	0	0	-1	0	0	0	1
Cell_45	-1	1	0	0	0	0	1	0	0	1	0	0	-1	0	1	0	0	0	0	0	0	0	-1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	-1	1	-1	0	0	0	0	0	0	0	-1
Cell_46	0	0	0	0	-1	0	0	0	0	0	1	1	-1	1	0	1	1	-1	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	1	1	0	0	1	0	0	1	0	0
Cell_47	0	1	0	0	-1	0	0	-1	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	-1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	-1	-1	0	1
Cell_48	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1	0	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-1	-1	0	1	1	0	1	1	0	0	0	0	-1
Cell_49	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	-1	0	0	1	0	0	0	0	0	1	0	0	0	-1	1	-1	0	0	-1	0	1	0	1	1	0	-1	0	0
Cell_50	0	0	1	-1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	1	0	0	0	-1	0	0	0	0	0	0	1	0	0	1	1	-1	0	0
Cell_51	0	0	1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	1	0	0	0	1	0	0	-1	0	0	0	0	0	0	1	0	0	1	1	-1	0	0
Cell_52	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	-1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	-1	1	0	0	1	0	0	0	0	0	-1
Cell_53	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	-1	0	0	-1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1
Cell_54	0	0	1	0	0	0	-1	-1	1	0	-1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	-1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	-1	0	0	0
Cell_55	-1	0	0	0	0	0	0	0	1	0	-1	-1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	-1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	-1	-1	0	0
Cell_56	0	0	0	0	-1	0	1	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	0	-1	-1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	1	0	-1	0	0	0	-1
Cell_57	0	0	0	0	0	-1	0	0	1	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	-1	0	-1	0	0	0	0	-1	0	1	1	0	0	-1	0	0	1	0	0	-1	-1	-1	-1	0	0
Cell_58	0	0	0	0	0	0	1	0	1	0	0	0	0	0	-1	0	0	0	0	0	0	0	-1	1	1	0	1	0	0	0	0	0	0	0	1	0	1	1	0	-1	0	0	0	1	0	0	0	0	0	-1
Cell_59	0	-1	1	0	-1	0	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	1	0	0	0	-1	0	0	0	1	0	0	1	0	0	0	0	-1	0	0
Cell_60	0	0	1	0	0	0	0	-1	0	1	0	1	-1	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	1	1	0	0	0	-1	0	-1	0	0	0	0	1	0	0	1	0	-1	0	1
Cell_61	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	1	1	-1	0	1	0	-1	0	0	-1	0	1	0	0	1	0	0	-1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	-1	0
Cell_62	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	0	-1	1	0	-1	0	0	0	1	0	0	0	-1	0	0	0	0	0	1	1	0	0	1	0	-1	0	-1
Cell_63	0	0	-1	0	0	-1	0	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	0	0	-1	0	0	-1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1
Cell_64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1	0	0	0	0	0	0	-1	0	-1	0	1	0	-1	0	0	0	0	0	0	-1	0	0	1	0	0	-1	1	0	0	0	0	0
Cell_65	0	0	0	0	0	0	0	0	1	0	-1	0	0	-1	0	-1	0	0	1	0	0	0	1	0	1	1	0	-1	0	0	-1	0	0	0	1	1	0	0	0	-1	0	0	0	0	0	0	-1	-1	0	0
Cell_66	0	0	1	0	0	-1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	-1	0	0	-1	1	0	-1	0	1	0	1	0	0	0	0	1	-1	0	1	0	0	0	0	0	1	-1	1
Cell_67	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1	0	0	0	-1	0	0	-1	0	-1	0	0	-1	0	1	0	0	0	0	-1	-1	-1	1	0	0	0	0	1	1	0	0	-1	0
Cell_68	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-1	0	0	-1	0	0	-1	0	-1	0	1	0	1	0	0	1	-1	0	1	0	0	0	0	0	0	0	1
Cell_69	0	0	0	0	-1	0	1	1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	-1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	1	0	0	0	1	0	-1
Cell_70	1	0	0	0	0	0	0	-1	1	0	-1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	-1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0
Cell_71	0	0	1	-1	0	0	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	-1	-1	0	1	0	0	-1	0	-1	0	1	0	0	0	-1	0	1	0	0	-1	0	1	0	0	1	0	-1	0	0
Cell_72	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	-1	0	0	1	1	0	0	-1	0	1	0	-1	1	0	0	1	0	-1	0	0	0	1	0	0	0	0	0	-1
Cell_73	0	0	0	0	0	0	0	0	1	0	-1	0	-1	0	0	0	0	1	0	0	0	0	1	1	1	0	0	-1	0	0	0	-1	-1	0	1	0	0	1	0	0	0	0	0	0	0	0	-1	-1	0	0
Cell_74	0	0	1	0	1	0	1	0	0	0	0	1	-1	0	0	0	0	0	0	0	0	0	-1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	-1	0	1	1	0	0	0	0	0	-1
Cell_75	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	-1	0	0	0	1	0	0	-1	0	0	-1	0	-1	0	0	0	0	1	0	0	-1	0	0	0	0	0	1	1	-1	0	1	0	-1	0	0
Cell_76	0	0	0	1	0	0	0	0	1	0	-1	0	0	-1	1	0	1	0	0	0	0	0	1	0	1	0	0	-1	0	0	0	-1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	-1	-1	-1	0
Cell_77	0	0	0	0	-1	-1	0	1	0	-1	-1	0	0	0	1	0	0	0	0	0	1	0	-1	0	0	0	-1	0	0	-1	0	0	0	1	0	0	0	1	1	0	0	1	0	-1	0	0	0	0	0	1
Cell_78	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	-1	0	0	1	0	1	0	0	-1	0	-1	-1	0	0	-1	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1
Cell_79	0	0	1	0	0	0	1	0	1	0	-1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	-1	0	0	0	-1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	-1	-1	0	0
Cell_80	0	0	1	-1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	-1	0	0	0	-1	-1	0	0	-1	1	0	0	0	-1	0	0	1	1	0	0	1	0	0	1	0	-1	0	0
Cell_81	-1	0	0	0	0	1	0	0	0	0	0	-1	0	0	0	1	1	-1	0	0	0	0	-1	0	-1	1	0	0	0	0	0	0	0	1	0	0	0	-1	0	0	0	1	0	0	1	1	0	0	0	1
Cell_82	-1	0	1	0	0	0	0	0	1	0	-1	0	0	0	-1	-1	0	0	0	0	-1	0	1	0	1	0	0	-1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	-1	0	-1	-1	1	0
Cell_83	0	0	1	0	-1	0	1	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	-1	-1	0	0	0	1	0	0	0	0	0	0	0	1	0	-1	1	0	-1	0	0	0	1	0	0	0	0	0	-1
Cell_84	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	1	1	-1	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	1	0	1	1	0	0	1	1	0	1	0	0
Cell_85	0	0	1	1	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	-1	0	0	-1	0	-1	-1	0	-1	0	0	0	1	0	0	0	-1	0	0	0	0	1	0	1	0	0	1	0	-1	0	-1
Cell_86	1	0	1	0	0	0	0	0	0	0	0	1	0	-1	0	-1	0	0	-1	0	-1	0	-1	0	0	0	-1	-1	0	0	0	1	0	0	0	-1	1	-1	0	0	0	0	1	0	-1	1	0	-1	0	0
Cell_87	0	0	1	0	0	0	1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	-1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	-1
Cell_88	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	-1	0	-1	0	0	-1	0	0	0	0	0	0	1	0	0	0	-1	1	1	0	0	0	0	0	0	0	0	0	1
Cell_89	0	0	1	0	0	0	0	-1	0	0	0	1	0	0	0	0	-1	1	0	0	0	0	-1	0	-1	0	0	-1	0	0	0	1	0	0	0	-1	0	0	0	-1	-1	0	1	0	0	0	0	0	0	0
Cell_90	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	1	1	-1	0	0	0	-1	-1	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	-1	0	0	1	1	0	0	1	0	0	0	0	0
Cell_91	-1	0	0	0	0	0	1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	-1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	-1	0	1	0
Cell_92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1	0	0	0	-1	0	0	-1	-1	0	0	-1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	-1	1	0	1	0	0	0
Cell_93	-1	0	0	1	0	0	0	0	1	0	1	0	-1	0	0	1	1	0	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	0	0	0	1	0	0	0	0	0
Cell_94	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	1	0	0	-1	0	0	-1	0	0	-1	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1
Cell_95	-1	-1	0	0	0	0	0	0	0	-1	0	0	0	1	-1	1	1	-1	0	0	0	-1	0	1	-1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0
Cell_96	0	0	-1	0	0	-1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	-1	0	0	-1	-1	0	-1	0	0	0	1	0	0	0	0	1	0	-1	1	0	0	0	0	1	0	0	1
Cell_97	0	1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-1	1	0	-1	0	0	-1	0	0	-1	1	0	0	0	0	1	0	-1	1	0	0	0	0	0	0	0	1
Cell_98	0	0	1	0	0	0	0	0	0	0	0	1	0	1	-1	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	-1	1	0	0	0	-1	1	0	0	0	-1	0	1	0	0	1	0	-1	0	0
Cell_99	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	-1	0	0	-1	0	-1	0	0	0	1	0	0	0	-1	0	0	0	0	0	0	1	0	0	1	-1	-1	0	0
Cell_100	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	-1	0	0	0	1	0	0	1	1	0	0	0	1	0	0	1	0	-1	0	0	0	0	1	1	0	0	0	-1
Cell_101	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	1	-1	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	0	0	1	0	0	-1	0	0	1	1	0	0	1	0	0	0	0	0
Cell_102	0	0	0	0	1	0	1	-1	0	0	0	-1	-1	1	-1	1	-1	0	0	-1	0	0	-1	0	0	-1	1	1	0	-1	-1	0	-1	0	1	0	0	1	0	-1	-1	0	0	1	0	0	0	0	0	-1
Cell_103	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	1	1	-1	0	-1	1	0	0	0	0	0	0	0	0	1	0	0	0	-1	0	0	0	-1	0	0	1	1	0	0	1	-1	0	1	-1	0
Cell_104	0	0	0	0	0	0	1	1	0	0	-1	0	-1	0	-1	0	0	0	0	-1	0	0	-1	0	0	0	1	0	0	0	-1	-1	0	0	1	0	0	1	0	-1	0	0	0	0	1	0	0	1	0	-1
Cell_105	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	-1	0	0	0	1	0	0	-1	0	0	0	0	-1	0	0	1	1	0	0	0	-1	0	0	0	0	0	0	1	0	1	1	0	-1	0	0
Cell_106	0	0	1	0	0	0	0	0	-1	0	0	1	0	0	0	0	0	0	0	-1	0	0	-1	0	0	0	0	-1	0	0	0	1	0	0	0	-1	0	0	0	0	0	0	1	0	0	1	0	-1	0	-1
Cell_107	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	-1	0	0	1	1	-1	0	0	0	1	0	0	0	-1	0	0	1	0	0	0	1	0	1	1	0	-1	0	0
Cell_108	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	-1	0	-1	0	0	-1	0	-1	0	0	0	1	-1	-1	-1	0	0	0	0	0	0	0	0	0	1	-1	1	0
Cell_109	0	0	0	1	0	0	0	0	1	0	-1	0	0	0	0	0	0	0	-1	0	0	0	1	0	1	0	0	-1	0	0	0	1	0	0	1	1	0	0	-1	0	0	0	0	0	-1	0	-1	-1	0	0
Cell_110	0	-1	1	0	0	-1	0	0	0	0	0	1	0	-1	0	1	0	0	0	0	0	0	-1	0	1	0	0	-1	0	0	0	0	0	0	0	-1	0	1	0	0	0	0	1	0	0	1	0	-1	1	0
Cell_111	0	0	0	0	0	-1	0	0	0	-1	1	0	1	0	0	-1	0	0	0	0	1	0	1	-1	0	0	-1	0	0	-1	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1
Cell_112	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	0	1	0	1	-1	0	0	0	0	-1	0	0	-1	0	0	1	1	-1	0	1	0	0	1	0	-1	1	0
Cell_113	0	-1	0	1	0	-1	0	0	1	0	-1	0	-1	0	0	0	-1	0	0	0	0	0	1	0	1	0	0	-1	0	0	0	0	0	0	1	1	0	0	0	-1	0	0	0	0	0	0	-1	-1	0	0
Cell_114	0	0	0	0	0	0	0	0	1	0	-1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	-1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0
Cell_115	0	0	0	0	0	-1	0	1	1	0	-1	1	0	-1	0	1	0	0	0	0	0	0	1	0	1	0	0	-1	0	-1	0	0	0	0	1	1	0	0	0	1	-1	0	0	0	0	0	-1	-1	1	1
Cell_116	0	0	0	0	0	0	0	0	1	1	-1	0	0	0	0	0	0	-1	-1	-1	0	0	1	0	1	0	0	-1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	1	-1	-1	0	0
Cell_117	1	0	0	1	0	1	1	0	0	0	-1	0	-1	0	0	0	0	0	0	1	0	-1	-1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	-1	0	0	0	1	1	0	0	0	-1	-1
Cell_118	0	0	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	1	0	0	0	0	-1	0	0	0	1	0	0	1	1	0	0	0	1	0	0	1	0	-1	0	0	0	1	0	0	0	0	0	-1
Cell_119	0	0	1	0	0	-1	0	0	-1	0	0	-1	0	0	0	0	0	1	0	0	1	0	0	-1	0	0	-1	0	0	-1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	-1	1
