source	interaction	target
TP53	upregulates-expression	GADD45A
STAT4	upregulates-expression	IFNG
PPARG	upregulates-expression	LPL
NR5A1	upregulates-expression	CYP17A1
FOXO3	upregulates-expression	FASLG
ELK1	upregulates-expression	SOD1
FLI1	upregulates-expression	GP9
USF1	upregulates-expression	FASN
FLI1	upregulates-expression	ITGA2B
EGR1	upregulates-expression	ELK1
ELK1	upregulates-expression	EGR1
POU1F1	upregulates-expression	PRL
CEBPA	upregulates-expression	ALB
CREB1	upregulates-expression	CCND1
STAT1	upregulates-expression	IFNG
JUN	upregulates-expression	IL6
HIF1A	upregulates-expression	EPO
MYC	upregulates-expression	CDC25A
ARNT	upregulates-expression	EPO
TP73	upregulates-expression	MDM2
TP53	upregulates-expression	TP73
TP73	upregulates-expression	CDKN1A
E2F4	downregulates-expression	E2F1
SP1	upregulates-expression	CDKN1A
ETS2	upregulates-expression	IL5
GATA3	upregulates-expression	IL5
ETS1	upregulates-expression	IL5
SP1	upregulates-expression	TGFB1
JUN	upregulates-expression	OXTR
REL	upregulates-expression	IL2RA
SP1	upregulates-expression	LDLR
YY1	downregulates-expression	LDLR
CEBPA	upregulates-expression	PCK1
WT1	upregulates-expression	CDKN1A
FOS	upregulates-expression	ERCC1
YY1	downregulates-expression	CXCR4
MYC	upregulates-expression	CXCR4
USF1	upregulates-expression	CXCR4
NR5A1	upregulates-expression	LHB
ATF2	upregulates-expression	TNF
JUN	upregulates-expression	TNF
LEF1	upregulates-expression	CCND1
CEBPB	upregulates-expression	STAR
NR5A1	upregulates-expression	STAR
SRF	upregulates-expression	FOS
MYC	downregulates-expression	CDKN1A
JUN	upregulates-expression	IL2
SOX9	upregulates-expression	MIA
IRF1	upregulates-expression	IFNA1
IRF1	upregulates-expression	IRF2
TP53	upregulates-expression	LITAF
TP53	upregulates-expression	BTG2
SP3	upregulates-expression	CDKN1A
TP53	upregulates-expression	PCNA
STAT1	downregulates-expression	IFNB1
ATF2	upregulates-expression	JUN
EGR1	upregulates-expression	F3
SRF	upregulates-expression	EGR1
HNF4A	upregulates-expression	SERPINA1
JUN	upregulates-expression	CSF2
NFATC2	upregulates-expression	CSF2
MEF2A	upregulates-expression	JUN
RUNX2	upregulates-expression	MMP13
YBX1	downregulates-expression	MMP13
PDX1	upregulates-expression	INS
HNF1A	upregulates-expression	HNF4A
HNF4A	upregulates-expression	HNF1A
HNF1A	upregulates-expression	INS
RFX1	downregulates-expression	PCNA
E2F1	upregulates-expression	DHFR
WT1	upregulates-expression	THBS1
SP1	upregulates-expression	IGFBP4
MYC	upregulates-expression	TP53
TP53	downregulates-expression	MYC
NFKB1	upregulates-expression	TP53
TP53	upregulates-expression	RELA
RELA	upregulates-expression	TP53
FOXO1	upregulates-expression	IGFBP1
STAT5A	upregulates-expression	CSN2
AHR	upregulates-expression	CYP1A1
SP1	upregulates-expression	PLAU
STAT1	upregulates-expression	SOCS3
STAT3	upregulates-expression	SOCS3
POU2F1	upregulates-expression	IL5
YY1	upregulates-expression	IL5
RARA	upregulates-expression	PLAU
LEF1	upregulates-expression	MMP7
SPI1	upregulates-expression	BTK
SP1	upregulates-expression	BTK
SP3	upregulates-expression	BTK
SP1	upregulates-expression	SP3
STAT6	upregulates-expression	IL4
EGR1	upregulates-expression	PDGFA
JUN	downregulates-expression	ABCB1
RELA	upregulates-expression	CD40LG
CEBPA	upregulates-expression	SP1
SP1	upregulates-expression	ODC1
MYC	upregulates-expression	BRCA1
NR5A1	upregulates-expression	CYP19A1
MYC	upregulates-expression	ODC1
MYC	upregulates-expression	PTMA
MYCN	downregulates-expression	NDRG1
MYC	downregulates-expression	NDRG1
TP63	upregulates-expression	CDKN1A
SP1	upregulates-expression	CYP11A1
MAZ	upregulates-expression	MYC
POU1F1	upregulates-expression	GH1
CREB1	upregulates-expression	EGR1
EGR1	upregulates-expression	ABCB1
WT1	upregulates-expression	ABCB1
YY1	upregulates-expression	CETP
SREBF1	upregulates-expression	CETP
SREBF1	upregulates-expression	SCD5
STAT1	upregulates-expression	CD40
NR1I2	upregulates-expression	CYP3A4
HNF1A	upregulates-expression	CYP7A1
JUNB	upregulates-expression	CLU
STAT1	upregulates-expression	IFNA1
WT1	upregulates-expression	BCL2
FOS	downregulates-expression	CLU
FOSL1	upregulates-expression	CLU
CREB1	upregulates-expression	TH
ESR2	upregulates-expression	OXT
SP1	upregulates-expression	ABCB1
HIF1A	upregulates-expression	VEGFA
JUN	upregulates-expression	SPI1
SMAD4	upregulates-expression	CDKN1A
ESR1	upregulates-expression	C3
EGR1	upregulates-expression	TNF
SP1	upregulates-expression	FN1
PPARG	upregulates-expression	FABP4
STAT5A	upregulates-expression	BCL2L1
SP1	upregulates-expression	LEP
STAT5A	upregulates-expression	OSM
EGR1	upregulates-expression	MMP14
PPARG	upregulates-expression	CD36
STAT1	upregulates-expression	PTGS2
CEBPB	downregulates-expression	IL6
PAX5	upregulates-expression	CD79A
ETS1	upregulates-expression	PARP1
POU2F1	downregulates-expression	HLA-DRA
ETS1	upregulates-expression	MGAT5
STAT1	downregulates-expression	HSP90AA1
HSF1	upregulates-expression	HSPA4
CEBPB	upregulates-expression	HP
HIF1A	upregulates-expression	TFRC
MYC	upregulates-expression	HSPA4
SP1	upregulates-expression	PSEN1
NR0B1	downregulates-expression	NR5A1
NR5A1	upregulates-expression	NR0B1
SP1	upregulates-expression	SLC25A5
ESR1	upregulates-expression	E2F1
SP1	upregulates-expression	E2F1
TFAP2A	upregulates-expression	CYP11A1
SP1	upregulates-expression	SPI1
SP1	upregulates-expression	PLAT
SP3	upregulates-expression	PLAT
SPI1	upregulates-expression	IL1B
PGR	upregulates-expression	IGFBP1
PAX5	upregulates-expression	BLK
SREBF2	upregulates-expression	LDLR
NR5A1	upregulates-expression	CYP11A1
CEBPB	upregulates-expression	CXCL8
HNF1A	upregulates-expression	UGT1A1
NFKB1	upregulates-expression	CCND1
RELA	upregulates-expression	CCND1
CEBPB	upregulates-expression	IL1B
RELA	upregulates-expression	PLAU
REL	upregulates-expression	CCL2
RELA	upregulates-expression	CCL2
TP53	upregulates-expression	MDM4
WT1	downregulates-expression	MYCN
CREB1	downregulates-expression	JUN
SP1	upregulates-expression	HMGA2
SP3	upregulates-expression	HMGA2
RELA	upregulates-expression	CXCL8
PAX3	upregulates-expression	MITF
RELA	upregulates-expression	TNF
NFKB1	upregulates-expression	TNF
NFIC	downregulates-expression	CYP1A1
E2F1	upregulates-expression	RB1
SP1	upregulates-expression	LHCGR
ESRRA	upregulates-expression	CYP19A1
USF1	upregulates-expression	PKLR
STAT3	upregulates-expression	JUNB
SP1	upregulates-expression	CCND1
ESR1	upregulates-expression	TFAP2C
TFAP2C	upregulates-expression	ESR1
PAX8	upregulates-expression	TG
WT1	downregulates-expression	IGF1R
ESR1	upregulates-expression	CCND1
SP1	upregulates-expression	ITGAV
SP3	upregulates-expression	ITGAV
E2F1	upregulates-expression	CCNE1
E2F1	upregulates-expression	CCND1
YY1	upregulates-expression	TP53
IRF1	upregulates-expression	CIITA
SP1	upregulates-expression	MMP2
SP3	upregulates-expression	MMP2
TFAP2A	upregulates-expression	MMP2
ETV4	upregulates-expression	MMP2
ATF2	upregulates-expression	CDKN1A
MYC	upregulates-expression	CCND2
EGR1	downregulates-expression	FAS
FLI1	upregulates-expression	TGFBR2
SP1	upregulates-expression	BAX
ETS2	upregulates-expression	TP53
ETS1	upregulates-expression	TP53
EGR1	upregulates-expression	NAB2
TP53	downregulates-expression	CDK1
NR1H4	upregulates-expression	FABP6
TP53	upregulates-expression	CDKN1B
TP53	downregulates-expression	MAP4
PPARA	upregulates-expression	UCP1
PPARG	upregulates-expression	UCP1
MEF2C	upregulates-expression	JUN
TFAP2A	upregulates-expression	CDH1
STAT6	upregulates-expression	IRF1
STAT1	upregulates-expression	IRF1
EPAS1	upregulates-expression	VEGFA
ATF1	upregulates-expression	IL10
CEBPB	upregulates-expression	FOS
CREB1	upregulates-expression	IL10
RELA	upregulates-expression	IL6
SPI1	upregulates-expression	ITGB2
HNF1A	upregulates-expression	ALB
USF1	upregulates-expression	CCNB1
AR	upregulates-expression	MYC
SP1	upregulates-expression	F3
NFKB1	upregulates-expression	ICAM1
NFKB1	upregulates-expression	VCAM1
RELA	upregulates-expression	ICAM1
RELA	upregulates-expression	VCAM1
TP53	upregulates-expression	ING1
ETS1	upregulates-expression	FLT1
CEBPE	upregulates-expression	LTF
IRF2	upregulates-expression	CIITA
USF1	upregulates-expression	BRCA2
ELF1	upregulates-expression	BRCA2
USF2	upregulates-expression	BRCA2
SP1	upregulates-expression	TNF
SMAD3	upregulates-expression	SMAD7
SMAD4	upregulates-expression	SMAD7
FOSL1	downregulates-expression	ELN
JUN	downregulates-expression	ELN
HIF1A	upregulates-expression	CDKN1A
TFAP2A	upregulates-expression	MPG
ATF6	upregulates-expression	HSPA5
ATF1	upregulates-expression	TGFB2
MYC	upregulates-expression	CAD
IRF8	upregulates-expression	NCF2
EGR1	upregulates-expression	TP73
ERG	upregulates-expression	ICAM2
SP1	upregulates-expression	NOS3
CTCF	upregulates-expression	APP
NFKB1	upregulates-expression	BCL2L1
RELA	upregulates-expression	BCL2L1
SREBF1	upregulates-expression	FASN
CREM	upregulates-expression	IL2
MITF	upregulates-expression	TYR
HIF1A	upregulates-expression	SERPINE1
MYB	upregulates-expression	CCNA1
E2F1	upregulates-expression	CDKN2A
E2F1	upregulates-expression	CCNA2
TP53	upregulates-expression	TNFRSF10B
TP53	downregulates-expression	BRCA1
WT1	downregulates-expression	TERT
MYC	upregulates-expression	HMOX1
SMAD3	upregulates-expression	CDKN1A
FOS	upregulates-expression	IL2
AR	upregulates-expression	CDKN1A
TP53	downregulates-expression	TP63
EGR1	upregulates-expression	IGF2
WT1	downregulates-expression	IGF2
MYC	upregulates-expression	NCL
ETS1	upregulates-expression	PTHLH
SP1	upregulates-expression	FMR1
TFAP2A	upregulates-expression	FMR1
TP53	upregulates-expression	TGFB1
TP53	upregulates-expression	GDF15
SP1	upregulates-expression	SRC
SMAD1	upregulates-expression	SPP1
CTCF	downregulates-expression	MYC
HNF4A	downregulates-expression	CYP7A1
RARA	upregulates-expression	RARB
CEBPB	upregulates-expression	PTGS2
PPARA	upregulates-expression	LPL
NEUROD1	upregulates-expression	INS
REST	downregulates-expression	GRIN1
SP1	upregulates-expression	CCL2
TFAP2A	upregulates-expression	ERBB2
CEBPB	upregulates-expression	PRL
RELA	upregulates-expression	FN1
NFKB1	upregulates-expression	FN1
PGR	downregulates-expression	MYC
STAT1	upregulates-expression	CIITA
ETS1	upregulates-expression	PRL
FOXA2	upregulates-expression	PDX1
JUN	upregulates-expression	CD44
SNAI1	downregulates-expression	CDH1
SP1	upregulates-expression	IL10
STAT6	upregulates-expression	ALOX15
JUN	upregulates-expression	PTGS2
EGR1	upregulates-expression	FLT1
SP1	upregulates-expression	SOD2
SP1	downregulates-expression	CETP
HNF4A	downregulates-expression	GH1
CDX2	upregulates-expression	LCT
SPI1	upregulates-expression	PRTN3
NR5A1	upregulates-expression	AMH
VDR	upregulates-expression	BGLAP
HIF1A	upregulates-expression	NOS2
TP53	upregulates-expression	CAV1
FOS	upregulates-expression	MMP1
SP1	upregulates-expression	PLAUR
E2F1	downregulates-expression	SERPINE1
TP53	upregulates-expression	SERPINB5
MYB	upregulates-expression	BCL2
NR5A1	upregulates-expression	POU5F1
EGR1	upregulates-expression	CHRNA7
PAX8	upregulates-expression	TPO
ETS1	upregulates-expression	CTSB
SP3	upregulates-expression	CTSB
IRF1	upregulates-expression	IFNB1
ARNT	upregulates-expression	VEGFA
STAT4	upregulates-expression	MYC
MYC	upregulates-expression	IL2
KLF12	downregulates-expression	TFAP2A
CEBPA	upregulates-expression	DEFA3
REL	upregulates-expression	ICAM1
SMAD3	upregulates-expression	TGFB1
GATA2	upregulates-expression	NOS3
PRDM1	downregulates-expression	MYC
YY1	downregulates-expression	MYC
IRF1	upregulates-expression	CCL5
SP1	upregulates-expression	RELA
SP1	upregulates-expression	IGF1R
POU2F1	downregulates-expression	HBG1
SP3	upregulates-expression	ITGAD
SP1	upregulates-expression	ITGAD
TP53	upregulates-expression	PERP
MYC	upregulates-expression	FASLG
SPI1	upregulates-expression	TLR4
STAT3	upregulates-expression	GFAP
ESR1	upregulates-expression	LTF
WT1	upregulates-expression	AMH
LEF1	upregulates-expression	MITF
STAT3	upregulates-expression	VEGFA
PPARA	downregulates-expression	CYP7A1
TP53	downregulates-expression	ABCB1
HNF1A	upregulates-expression	SLC2A2
TP53	upregulates-expression	BDKRB2
CEBPA	upregulates-expression	IL6
KLF4	upregulates-expression	CDKN1A
ESR1	upregulates-expression	IGF1
CREB1	upregulates-expression	BCL2
WT1	downregulates-expression	CDH1
CEBPB	upregulates-expression	TNF
EGR2	downregulates-expression	FASLG
TFDP1	upregulates-expression	CCNE1
NEUROG3	upregulates-expression	NEUROD1
TBX21	upregulates-expression	IFNG
IRF1	upregulates-expression	PSMB9
STAT1	upregulates-expression	PSMB9
HNF1A	upregulates-expression	G6PC1
SP1	upregulates-expression	TGFBR2
FOXA2	upregulates-expression	HHEX
NR5A1	upregulates-expression	MC2R
SP1	upregulates-expression	COL1A2
STAT1	upregulates-expression	CD86
SP1	upregulates-expression	AR
GABPA	upregulates-expression	BRCA1
ELF3	upregulates-expression	SPRR2A
TP53	upregulates-expression	DKK1
HIF1A	upregulates-expression	CP
PPARA	upregulates-expression	ACSL1
SP1	upregulates-expression	VIM
TP53	downregulates-expression	TERT
SP1	upregulates-expression	TERT
HNF1A	upregulates-expression	UGT2B7
POU2F1	upregulates-expression	UGT2B7
JUN	upregulates-expression	MMP13
JUND	upregulates-expression	MMP13
EGR1	upregulates-expression	FN1
EGR1	upregulates-expression	SERPINE1
EGR1	upregulates-expression	TGFB1
FOXO4	upregulates-expression	CDKN1B
HNF4A	upregulates-expression	PKLR
TP53	upregulates-expression	ABCC1
SP1	upregulates-expression	TNFRSF8
CEBPD	upregulates-expression	TNF
SREBF1	upregulates-expression	ACLY
SREBF2	upregulates-expression	ACLY
JUN	upregulates-expression	EGFR
JUNB	upregulates-expression	EGFR
ESR2	upregulates-expression	TERT
STAT3	upregulates-expression	SOCS1
SP1	upregulates-expression	VEGFA
SP3	upregulates-expression	VEGFA
STAT1	downregulates-expression	MMP9
JUN	upregulates-expression	CXCL8
STAT1	upregulates-expression	FCGR1A
IRF1	upregulates-expression	SOCS1
STAT1	upregulates-expression	SOCS1
SPI1	upregulates-expression	CD40
SPIB	upregulates-expression	CD40
SP1	upregulates-expression	PTGS2
TP53	upregulates-expression	CD82
STAT1	upregulates-expression	ICAM1
ESR1	upregulates-expression	PRL
SP1	downregulates-expression	EGFR
RELA	upregulates-expression	SERPINE1
CEBPD	upregulates-expression	PTGS2
EGR1	upregulates-expression	TH
SMAD4	upregulates-expression	TGFB1
SP1	upregulates-expression	LTF
SP1	upregulates-expression	VDR
HIF1A	upregulates-expression	ADM
STAT1	upregulates-expression	NOS2
BMAL1	upregulates-expression	PER1
CLOCK	upregulates-expression	PER1
BMAL1	upregulates-expression	DBP
ATF2	upregulates-expression	IFNB1
IRF3	downregulates-expression	IFNB1
JUN	upregulates-expression	IFNB1
ETS1	upregulates-expression	CSNK2A1
SP1	upregulates-expression	CSNK2A1
TP53	upregulates-expression	MAPK8
JUNB	upregulates-expression	CDKN2A
NR1H3	upregulates-expression	ABCA1
TFAP2A	downregulates-expression	HGF
SPI1	upregulates-expression	SERPINB1
CEBPA	upregulates-expression	PPARG
ESR1	upregulates-expression	VEGFA
SPI1	downregulates-expression	MMP2
MYC	downregulates-expression	THBS1
MZF1	downregulates-expression	TERT
SP1	upregulates-expression	UTRN
PAX3	upregulates-expression	BCL2L1
HOXA5	upregulates-expression	PGR
ESR1	upregulates-expression	EGF
STAT3	upregulates-expression	CRP
CEBPB	upregulates-expression	CRP
SP1	upregulates-expression	SERPINE1
CDX2	upregulates-expression	GUCY2C
FOS	downregulates-expression	CDKN1A
PAX4	downregulates-expression	INS
TP53	upregulates-expression	CASP3
SP1	upregulates-expression	PGR
ESR1	upregulates-expression	PGR
PGR	upregulates-expression	ESR1
STAT3	upregulates-expression	IL10
ATF2	upregulates-expression	INS
CREB1	upregulates-expression	INS
TP53	downregulates-expression	VEGFA
MYC	downregulates-expression	GADD45A
ELK1	upregulates-expression	TNF
FOSL1	upregulates-expression	MMP1
JUN	upregulates-expression	MMP1
E2F1	upregulates-expression	TYMS
E2F1	downregulates-expression	MDM2
JUN	upregulates-expression	SPRR1B
JUN	upregulates-expression	CCL2
SP1	upregulates-expression	STAR
NFKB1	upregulates-expression	CSF1
HIF1A	upregulates-expression	BNIP3
SOX10	upregulates-expression	MPZ
IRF7	upregulates-expression	IFNA1
FOS	upregulates-expression	MMP9
ESR1	downregulates-expression	PTMA
SOX10	upregulates-expression	MITF
JUN	upregulates-expression	IL24
ETS1	upregulates-expression	PSEN1
ZEB1	downregulates-expression	CDH1
SP1	upregulates-expression	MYBL1
FOXO1	upregulates-expression	G6PC1
SP1	upregulates-expression	PTN
ATF3	downregulates-expression	SELE
RELA	upregulates-expression	EDN1
SP1	upregulates-expression	ALOX12
WT1	downregulates-expression	CCN2
STAT1	upregulates-expression	TAP1
NFKB1	upregulates-expression	IL6
CREB1	upregulates-expression	TG
SP1	upregulates-expression	CD44
JUN	upregulates-expression	ATF3
ATF2	upregulates-expression	ATF3
TP53	upregulates-expression	RRM2B
CEBPB	upregulates-expression	CDKN1A
ESR1	upregulates-expression	SP1
SP1	upregulates-expression	ESR1
EGR1	downregulates-expression	TGFBR2
ZIC2	downregulates-expression	DRD1
SMAD3	upregulates-expression	APOC3
SMAD4	upregulates-expression	APOC3
POU2F1	upregulates-expression	HPGDS
JUN	upregulates-expression	GCLC
HIF1A	upregulates-expression	TP53
TFAP2A	upregulates-expression	VEGFA
CEBPB	upregulates-expression	IL4
ESR1	upregulates-expression	APOA1
NR5A1	upregulates-expression	CYP11B1
ATF1	upregulates-expression	CGA
CREB1	upregulates-expression	CGA
ESR2	upregulates-expression	PGR
BMAL2	upregulates-expression	SERPINE1
SPI1	downregulates-expression	GATA1
ESR1	upregulates-expression	KRT19
ESR1	upregulates-expression	AKT1
ESR1	upregulates-expression	NOS3
SP1	downregulates-expression	POLB
E2F4	upregulates-expression	CDK1
NFKB1	upregulates-expression	CRP
NFKB1	upregulates-expression	IL1B
JUN	upregulates-expression	NQO1
NFE2L2	upregulates-expression	NQO1
ZIC1	upregulates-expression	APOE
ZIC2	upregulates-expression	APOE
ATF2	upregulates-expression	PCK1
WT1	upregulates-expression	VDR
SP1	upregulates-expression	IL1A
FOXA1	upregulates-expression	SFTPB
HES1	downregulates-expression	ASCL1
REL	upregulates-expression	F3
NFKB1	upregulates-expression	MMP9
NFKB1	upregulates-expression	NFKBIA
RELA	upregulates-expression	MMP9
RELA	upregulates-expression	NFKBIA
SP1	upregulates-expression	MMP9
TBX2	downregulates-expression	CDKN2A
WT1	downregulates-expression	EGFR
SP3	upregulates-expression	ALPL
MITF	upregulates-expression	KIT
MYF6	upregulates-expression	ACACB
NFKB1	upregulates-expression	PTGS2
RELA	upregulates-expression	PTGS2
USF1	upregulates-expression	HOXB4
USF2	upregulates-expression	HOXB4
IRF1	upregulates-expression	HLA-G
ESR1	upregulates-expression	AVP
CREB1	upregulates-expression	PTGS2
GATA3	upregulates-expression	IL4
TFAP2C	upregulates-expression	CSTA
MYB	upregulates-expression	RAG2
TP53	upregulates-expression	PPM1D
PRDM1	downregulates-expression	CIITA
MYC	upregulates-expression	BAX
TP53	upregulates-expression	FAS
ATF1	upregulates-expression	TH
SREBF2	upregulates-expression	FDFT1
SP1	upregulates-expression	CXCL1
NFKB1	upregulates-expression	CFTR
RELA	upregulates-expression	CFTR
RELA	upregulates-expression	IL1B
SPI1	upregulates-expression	PTPRC
AHR	upregulates-expression	MYC
RELA	upregulates-expression	MYC
MYB	upregulates-expression	MAT2A
CREB1	upregulates-expression	PSEN1
CREB1	upregulates-expression	REN
SP1	upregulates-expression	TP53
NFE2L2	upregulates-expression	GCLC
USF1	upregulates-expression	S100A6
HIF1A	upregulates-expression	SLC2A1
STAT3	upregulates-expression	BCL6
TP53	upregulates-expression	HRAS
TP53	downregulates-expression	NOS2
STAT1	upregulates-expression	COL1A2
CREB1	upregulates-expression	TRH
JUN	upregulates-expression	IL1B
ESR1	upregulates-expression	TGFA
TFAP2A	upregulates-expression	DBH
TFAP2A	upregulates-expression	TH
NR1H3	upregulates-expression	APOE
NR1H3	upregulates-expression	ABCG1
TP53	downregulates-expression	CHEK1
NKX2-1	upregulates-expression	SFTPB
E2F4	downregulates-expression	DHFR
TFDP1	upregulates-expression	DHFR
ETV4	upregulates-expression	MMP7
STAT3	upregulates-expression	MCL1
SP1	upregulates-expression	CCND2
STAT5A	upregulates-expression	CCND2
REL	downregulates-expression	IL6
REL	upregulates-expression	CRP
CEBPB	upregulates-expression	IGF2
SP1	upregulates-expression	IGF2
ESR1	upregulates-expression	CTSD
SP1	upregulates-expression	CTSD
GATA2	downregulates-expression	EPO
RARA	upregulates-expression	MUC5AC
PPARA	upregulates-expression	CPT1A
ESR1	upregulates-expression	HSPB1
CREB1	upregulates-expression	NF1
ETV4	downregulates-expression	ERBB2
CREB1	downregulates-expression	PLAT
ATF2	upregulates-expression	PLAT
HNF1A	upregulates-expression	UGT2B17
JUN	upregulates-expression	VEGFA
NR5A1	upregulates-expression	SRY
SP1	upregulates-expression	MUC2
SP3	upregulates-expression	MUC2
POU2F1	upregulates-expression	GADD45A
SP1	upregulates-expression	PDGFB
EGR1	upregulates-expression	PDGFB
HNF4A	upregulates-expression	APOB
HNF4A	upregulates-expression	APOC3
SP1	upregulates-expression	CDKN1B
ETS1	upregulates-expression	CDKN2A
ETS2	upregulates-expression	CDKN2A
FOSL1	upregulates-expression	PLAUR
JUN	upregulates-expression	PLAUR
TP53	upregulates-expression	NDRG1
MITF	upregulates-expression	TYRP1
SP3	upregulates-expression	UTRN
IRF1	upregulates-expression	TAP2
CREB1	upregulates-expression	IL2
ETV4	downregulates-expression	PLAUR
SPI1	upregulates-expression	CYBB
USF1	upregulates-expression	APC
USF2	upregulates-expression	APC
JUN	upregulates-expression	NOS2
SPI1	upregulates-expression	IL12B
REL	upregulates-expression	IL2
JUND	upregulates-expression	IVL
SP1	upregulates-expression	GJA1
SOX9	upregulates-expression	AMH
SRF	upregulates-expression	DMD
SP3	downregulates-expression	MAOB
SP1	upregulates-expression	MAOB
FOS	upregulates-expression	CD69
NR3C1	upregulates-expression	SCNN1A
USF1	downregulates-expression	CYP1A1
ETV4	upregulates-expression	PTGS2
NFE2L2	upregulates-expression	HMOX1
ESR1	upregulates-expression	CDKN1A
TP53	upregulates-expression	CASP1
PPARG	downregulates-expression	PTGS2
POU2F1	upregulates-expression	CDX2
HNF1A	upregulates-expression	PDX1
SP1	upregulates-expression	APOA1
HIF1A	upregulates-expression	EDN1
CEBPB	upregulates-expression	IL12B
JUN	upregulates-expression	IL12B
SRF	upregulates-expression	TAGLN
CDX2	upregulates-expression	SI
E4F1	downregulates-expression	CCNA2
ZBTB17	upregulates-expression	CDKN2B
MYC	downregulates-expression	CDKN2B
PPARA	upregulates-expression	FABP1
HNF1A	upregulates-expression	AKR1C4
SP1	upregulates-expression	SLC9A2
SP3	upregulates-expression	SLC9A2
NR1H2	upregulates-expression	SREBF1
NR1H3	upregulates-expression	SREBF1
PPARG	downregulates-expression	CCND1
FOS	downregulates-expression	CCND1
MYB	upregulates-expression	CD4
SP1	downregulates-expression	CDK6
WT1	downregulates-expression	AR
TP53	downregulates-expression	DNMT1
MITF	upregulates-expression	DCT
TFAP2A	downregulates-expression	F2R
TFAP2A	upregulates-expression	FAS
TFAP2A	upregulates-expression	KIT
STAT3	upregulates-expression	A2M
JUN	downregulates-expression	NR3C1
JUN	upregulates-expression	CYP11A1
JUN	upregulates-expression	MMP9
USF1	upregulates-expression	TOP3A
YY1	upregulates-expression	TOP3A
NRL	upregulates-expression	RHO
SMAD3	upregulates-expression	BGLAP
MITF	upregulates-expression	CTSK
JUND	upregulates-expression	IL6
SP1	upregulates-expression	CES1
TFAP2A	upregulates-expression	TAF7
CEBPA	upregulates-expression	LEP
MYC	downregulates-expression	CEBPA
CEBPA	downregulates-expression	MYC
SP1	upregulates-expression	CD28
EGR1	upregulates-expression	CD28
SP1	downregulates-expression	COL1A1
SP1	upregulates-expression	TIMP1
TP53	upregulates-expression	MSH2
FOS	upregulates-expression	VEGFA
FOS	downregulates-expression	IL6
USF1	downregulates-expression	PTGS2
HIF1A	upregulates-expression	HMOX1
FOXP1	upregulates-expression	SFTPC
PAX5	upregulates-expression	CD19
RELA	upregulates-expression	NFKB1
AHR	upregulates-expression	UGT1A6
SP1	upregulates-expression	CD99
STAT6	upregulates-expression	BCL2L1
TP53	downregulates-expression	POLD1
HNF4A	upregulates-expression	GHR
CREB1	upregulates-expression	BDNF
PPARG	upregulates-expression	PTEN
NR1H4	upregulates-expression	ABCB11
RELA	upregulates-expression	BCL3
E2F1	upregulates-expression	APAF1
TP53	upregulates-expression	APAF1
ETS1	upregulates-expression	CSNK2A2
SP3	downregulates-expression	TNF
RELA	upregulates-expression	CSF2
TP53	downregulates-expression	CDC25C
