source	target	interaction	weight
TF_7	G_843	upregulates-expression	1.0
TF_7	G_505	upregulates-expression	1.0
TF_7	G_802	upregulates-expression	1.0
TF_7	G_874	upregulates-expression	1.0
TF_7	G_493	downregulates-expression	1.0
TF_7	G_682	downregulates-expression	1.0
TF_7	G_941	downregulates-expression	1.0
TF_7	G_936	downregulates-expression	1.0
TF_7	G_706	downregulates-expression	1.0
TF_7	G_796	downregulates-expression	1.0
TF_7	G_212	downregulates-expression	1.0
TF_7	G_965	downregulates-expression	1.0
TF_8	G_368	upregulates-expression	1.0
TF_8	G_949	upregulates-expression	1.0
TF_8	G_943	upregulates-expression	1.0
TF_8	G_935	upregulates-expression	1.0
TF_8	G_166	upregulates-expression	1.0
TF_8	G_541	upregulates-expression	1.0
TF_8	G_975	upregulates-expression	1.0
TF_8	G_583	upregulates-expression	1.0
TF_8	G_46	upregulates-expression	1.0
TF_8	G_610	upregulates-expression	1.0
TF_8	G_267	upregulates-expression	1.0
TF_8	G_774	upregulates-expression	1.0
TF_8	G_532	upregulates-expression	1.0
TF_8	G_775	downregulates-expression	1.0
TF_8	G_753	downregulates-expression	1.0
TF_8	G_306	downregulates-expression	1.0
TF_8	G_244	downregulates-expression	1.0
TF_8	G_510	downregulates-expression	1.0
TF_8	G_403	downregulates-expression	1.0
TF_8	G_855	downregulates-expression	1.0
TF_8	G_96	downregulates-expression	1.0
TF_8	G_784	downregulates-expression	1.0
TF_8	G_490	downregulates-expression	1.0
TF_8	G_302	downregulates-expression	1.0
TF_8	G_965	downregulates-expression	1.0
TF_8	G_263	downregulates-expression	1.0
TF_8	G_151	downregulates-expression	1.0
TF_8	G_953	downregulates-expression	1.0
TF_8	G_505	downregulates-expression	1.0
TF_8	G_477	downregulates-expression	1.0
TF_8	G_577	downregulates-expression	1.0
TF_9	G_540	upregulates-expression	1.0
TF_9	G_109	upregulates-expression	1.0
TF_9	G_126	upregulates-expression	1.0
TF_9	G_471	upregulates-expression	1.0
TF_9	G_803	upregulates-expression	1.0
TF_9	G_422	upregulates-expression	1.0
TF_9	G_29	upregulates-expression	1.0
TF_9	G_144	upregulates-expression	1.0
TF_9	G_41	upregulates-expression	1.0
TF_9	G_525	upregulates-expression	1.0
TF_9	G_568	upregulates-expression	1.0
TF_9	G_70	upregulates-expression	1.0
TF_9	G_738	downregulates-expression	1.0
TF_9	G_796	downregulates-expression	1.0
TF_9	G_704	downregulates-expression	1.0
TF_9	G_887	downregulates-expression	1.0
TF_9	G_355	downregulates-expression	1.0
TF_9	G_44	downregulates-expression	1.0
TF_9	G_286	downregulates-expression	1.0
TF_9	G_170	downregulates-expression	1.0
TF_9	G_852	downregulates-expression	1.0
TF_9	G_944	downregulates-expression	1.0
TF_9	G_447	downregulates-expression	1.0
TF_9	G_199	downregulates-expression	1.0
TF_9	G_917	downregulates-expression	1.0
TF_9	G_465	downregulates-expression	1.0
TF_9	G_347	downregulates-expression	1.0
TF_9	G_50	downregulates-expression	1.0
TF_9	G_383	downregulates-expression	1.0
TF_9	G_510	downregulates-expression	1.0
TF_9	G_522	downregulates-expression	1.0
TF_9	G_307	downregulates-expression	1.0
TF_9	G_545	downregulates-expression	1.0
TF_9	G_992	downregulates-expression	1.0
TF_9	G_859	downregulates-expression	1.0
TF_9	G_203	downregulates-expression	1.0
TF_10	G_314	upregulates-expression	1.0
TF_10	G_650	upregulates-expression	1.0
TF_10	G_291	upregulates-expression	1.0
TF_10	G_157	upregulates-expression	1.0
TF_10	G_880	upregulates-expression	1.0
TF_10	G_39	upregulates-expression	1.0
TF_10	G_91	upregulates-expression	1.0
TF_10	G_205	upregulates-expression	1.0
TF_10	G_224	downregulates-expression	1.0
TF_10	G_424	downregulates-expression	1.0
TF_10	G_500	downregulates-expression	1.0
TF_10	G_709	downregulates-expression	1.0
TF_10	G_896	downregulates-expression	1.0
TF_10	G_590	downregulates-expression	1.0
TF_10	G_938	downregulates-expression	1.0
TF_10	G_973	downregulates-expression	1.0
TF_10	G_128	downregulates-expression	1.0
TF_10	G_481	downregulates-expression	1.0
TF_10	G_97	downregulates-expression	1.0
TF_10	G_226	downregulates-expression	1.0
TF_10	G_827	downregulates-expression	1.0
TF_10	G_195	downregulates-expression	1.0
TF_10	G_434	downregulates-expression	1.0
TF_10	G_279	downregulates-expression	1.0
TF_10	G_184	downregulates-expression	1.0
TF_10	G_271	downregulates-expression	1.0
TF_10	G_739	downregulates-expression	1.0
TF_10	G_966	downregulates-expression	1.0
TF_10	G_463	downregulates-expression	1.0
TF_10	G_425	downregulates-expression	1.0
TF_10	G_533	downregulates-expression	1.0
TF_10	G_152	downregulates-expression	1.0
TF_10	G_669	downregulates-expression	1.0
TF_10	G_298	downregulates-expression	1.0
TF_11	G_976	upregulates-expression	1.0
TF_11	G_345	upregulates-expression	1.0
TF_11	G_885	upregulates-expression	1.0
TF_11	G_424	upregulates-expression	1.0
TF_11	G_685	upregulates-expression	1.0
TF_11	G_465	upregulates-expression	1.0
TF_11	G_622	upregulates-expression	1.0
TF_11	G_332	upregulates-expression	1.0
TF_11	G_656	upregulates-expression	1.0
TF_11	G_970	upregulates-expression	1.0
TF_11	G_147	upregulates-expression	1.0
TF_11	G_310	upregulates-expression	1.0
TF_11	G_954	upregulates-expression	1.0
TF_11	G_446	upregulates-expression	1.0
TF_11	G_328	upregulates-expression	1.0
TF_11	G_571	upregulates-expression	1.0
TF_11	G_799	upregulates-expression	1.0
TF_11	G_981	upregulates-expression	1.0
TF_11	G_595	upregulates-expression	1.0
TF_11	G_534	upregulates-expression	1.0
TF_11	G_307	downregulates-expression	1.0
TF_11	G_175	downregulates-expression	1.0
TF_11	G_149	downregulates-expression	1.0
TF_11	G_558	downregulates-expression	1.0
TF_11	G_740	downregulates-expression	1.0
TF_11	G_378	downregulates-expression	1.0
TF_11	G_190	downregulates-expression	1.0
TF_11	G_568	downregulates-expression	1.0
TF_11	G_653	downregulates-expression	1.0
TF_11	G_785	downregulates-expression	1.0
TF_11	G_979	downregulates-expression	1.0
TF_11	G_833	downregulates-expression	1.0
TF_11	G_213	downregulates-expression	1.0
TF_11	G_669	downregulates-expression	1.0
TF_11	G_967	downregulates-expression	1.0
TF_12	G_886	upregulates-expression	1.0
TF_12	G_132	upregulates-expression	1.0
TF_12	G_609	upregulates-expression	1.0
TF_12	G_847	upregulates-expression	1.0
TF_12	G_731	upregulates-expression	1.0
TF_12	G_884	upregulates-expression	1.0
TF_12	G_573	upregulates-expression	1.0
TF_12	G_630	upregulates-expression	1.0
TF_12	G_550	upregulates-expression	1.0
TF_12	G_939	upregulates-expression	1.0
TF_12	G_750	upregulates-expression	1.0
TF_12	G_270	upregulates-expression	1.0
TF_12	G_273	downregulates-expression	1.0
TF_12	G_328	downregulates-expression	1.0
TF_12	G_118	downregulates-expression	1.0
TF_12	G_719	downregulates-expression	1.0
TF_12	G_938	downregulates-expression	1.0
TF_12	G_36	downregulates-expression	1.0
TF_12	G_73	downregulates-expression	1.0
TF_12	G_82	downregulates-expression	1.0
TF_12	G_820	downregulates-expression	1.0
TF_12	G_54	downregulates-expression	1.0
TF_12	G_338	downregulates-expression	1.0
TF_12	G_889	downregulates-expression	1.0
TF_12	G_891	downregulates-expression	1.0
TF_12	G_713	downregulates-expression	1.0
TF_12	G_999	downregulates-expression	1.0
TF_12	G_617	downregulates-expression	1.0
TF_12	G_439	downregulates-expression	1.0
TF_13	G_715	upregulates-expression	1.0
TF_13	G_297	upregulates-expression	1.0
TF_13	G_102	upregulates-expression	1.0
TF_13	G_773	downregulates-expression	1.0
TF_13	G_531	downregulates-expression	1.0
TF_13	G_112	downregulates-expression	1.0
TF_13	G_262	downregulates-expression	1.0
TF_13	G_991	downregulates-expression	1.0
TF_13	G_434	downregulates-expression	1.0
TF_13	G_978	downregulates-expression	1.0
TF_13	G_636	downregulates-expression	1.0
TF_13	G_669	downregulates-expression	1.0
TF_13	G_559	downregulates-expression	1.0
TF_13	G_57	downregulates-expression	1.0
TF_13	G_612	downregulates-expression	1.0
TF_13	G_150	downregulates-expression	1.0
TF_13	G_418	downregulates-expression	1.0
TF_13	G_635	downregulates-expression	1.0
TF_13	G_756	downregulates-expression	1.0
TF_13	G_225	downregulates-expression	1.0
TF_13	G_583	downregulates-expression	1.0
TF_13	G_491	downregulates-expression	1.0
TF_13	G_441	downregulates-expression	1.0
TF_14	G_537	upregulates-expression	1.0
TF_14	G_322	upregulates-expression	1.0
TF_14	G_945	upregulates-expression	1.0
TF_14	G_13	upregulates-expression	1.0
TF_14	G_339	upregulates-expression	1.0
TF_14	G_208	upregulates-expression	1.0
TF_14	G_131	upregulates-expression	1.0
TF_14	G_550	upregulates-expression	1.0
TF_14	G_19	upregulates-expression	1.0
TF_14	G_389	upregulates-expression	1.0
TF_14	G_478	downregulates-expression	1.0
TF_14	G_479	downregulates-expression	1.0
TF_14	G_253	downregulates-expression	1.0
TF_14	G_128	downregulates-expression	1.0
TF_14	G_975	downregulates-expression	1.0
TF_14	G_772	downregulates-expression	1.0
TF_14	G_136	downregulates-expression	1.0
TF_14	G_276	downregulates-expression	1.0
TF_14	G_763	downregulates-expression	1.0
TF_14	G_423	downregulates-expression	1.0
TF_14	G_962	downregulates-expression	1.0
TF_14	G_279	downregulates-expression	1.0
TF_14	G_712	downregulates-expression	1.0
TF_14	G_948	downregulates-expression	1.0
TF_14	G_620	downregulates-expression	1.0
TF_14	G_564	downregulates-expression	1.0
TF_14	G_911	downregulates-expression	1.0
TF_15	G_814	upregulates-expression	1.0
TF_15	G_761	upregulates-expression	1.0
TF_15	G_925	upregulates-expression	1.0
TF_15	G_989	upregulates-expression	1.0
TF_15	G_314	upregulates-expression	1.0
TF_15	G_494	upregulates-expression	1.0
TF_15	G_421	upregulates-expression	1.0
TF_15	G_399	upregulates-expression	1.0
TF_15	G_6	upregulates-expression	1.0
TF_15	G_99	upregulates-expression	1.0
TF_15	G_386	upregulates-expression	1.0
TF_15	G_721	upregulates-expression	1.0
TF_15	G_500	upregulates-expression	1.0
TF_15	G_712	upregulates-expression	1.0
TF_15	G_151	upregulates-expression	1.0
TF_15	G_885	downregulates-expression	1.0
TF_15	G_958	downregulates-expression	1.0
TF_15	G_561	downregulates-expression	1.0
TF_15	G_54	downregulates-expression	1.0
TF_15	G_937	downregulates-expression	1.0
TF_15	G_346	downregulates-expression	1.0
TF_15	G_871	downregulates-expression	1.0
TF_15	G_951	downregulates-expression	1.0
TF_15	G_392	downregulates-expression	1.0
TF_15	G_62	downregulates-expression	1.0
TF_15	G_564	downregulates-expression	1.0
TF_15	G_98	downregulates-expression	1.0
TF_15	G_138	downregulates-expression	1.0
TF_15	G_53	downregulates-expression	1.0
TF_16	G_58	upregulates-expression	1.0
TF_16	G_364	upregulates-expression	1.0
TF_16	G_231	upregulates-expression	1.0
TF_16	G_727	upregulates-expression	1.0
TF_16	G_652	downregulates-expression	1.0
TF_16	G_347	downregulates-expression	1.0
TF_16	G_859	downregulates-expression	1.0
TF_16	G_840	downregulates-expression	1.0
TF_16	G_156	downregulates-expression	1.0
TF_16	G_374	downregulates-expression	1.0
TF_16	G_259	downregulates-expression	1.0
TF_16	G_967	downregulates-expression	1.0
TF_16	G_281	downregulates-expression	1.0
TF_16	G_831	downregulates-expression	1.0
TF_16	G_245	downregulates-expression	1.0
TF_16	G_190	downregulates-expression	1.0
TF_16	G_522	downregulates-expression	1.0
TF_16	G_96	downregulates-expression	1.0
TF_16	G_37	downregulates-expression	1.0
TF_16	G_653	downregulates-expression	1.0
TF_16	G_519	downregulates-expression	1.0
TF_16	G_117	downregulates-expression	1.0
TF_16	G_656	downregulates-expression	1.0
TF_17	G_881	upregulates-expression	1.0
TF_17	G_161	upregulates-expression	1.0
TF_17	G_602	upregulates-expression	1.0
TF_17	G_557	upregulates-expression	1.0
TF_17	G_69	upregulates-expression	1.0
TF_17	G_198	upregulates-expression	1.0
TF_17	G_759	upregulates-expression	1.0
TF_17	G_935	upregulates-expression	1.0
TF_17	G_337	upregulates-expression	1.0
TF_17	G_981	upregulates-expression	1.0
TF_17	G_140	upregulates-expression	1.0
TF_17	G_59	upregulates-expression	1.0
TF_17	G_513	upregulates-expression	1.0
TF_17	G_133	downregulates-expression	1.0
TF_17	G_378	downregulates-expression	1.0
TF_17	G_874	downregulates-expression	1.0
TF_17	G_597	downregulates-expression	1.0
TF_17	G_760	downregulates-expression	1.0
TF_17	G_644	downregulates-expression	1.0
TF_17	G_319	downregulates-expression	1.0
TF_17	G_348	downregulates-expression	1.0
TF_17	G_42	downregulates-expression	1.0
TF_17	G_552	downregulates-expression	1.0
TF_17	G_719	downregulates-expression	1.0
TF_17	G_166	downregulates-expression	1.0
TF_18	G_137	upregulates-expression	1.0
TF_18	G_924	upregulates-expression	1.0
TF_18	G_268	upregulates-expression	1.0
TF_18	G_783	upregulates-expression	1.0
TF_18	G_627	upregulates-expression	1.0
TF_18	G_440	upregulates-expression	1.0
TF_18	G_900	upregulates-expression	1.0
TF_18	G_701	upregulates-expression	1.0
TF_18	G_668	upregulates-expression	1.0
TF_18	G_545	upregulates-expression	1.0
TF_18	G_689	upregulates-expression	1.0
TF_18	G_869	upregulates-expression	1.0
TF_18	G_720	upregulates-expression	1.0
TF_18	G_277	upregulates-expression	1.0
TF_18	G_498	upregulates-expression	1.0
TF_18	G_145	upregulates-expression	1.0
TF_18	G_262	upregulates-expression	1.0
TF_18	G_128	upregulates-expression	1.0
TF_18	G_716	upregulates-expression	1.0
TF_18	G_695	downregulates-expression	1.0
TF_18	G_313	downregulates-expression	1.0
TF_18	G_113	downregulates-expression	1.0
TF_18	G_214	downregulates-expression	1.0
TF_18	G_891	downregulates-expression	1.0
TF_18	G_572	downregulates-expression	1.0
TF_18	G_72	downregulates-expression	1.0
TF_18	G_470	downregulates-expression	1.0
TF_18	G_78	downregulates-expression	1.0
TF_18	G_209	downregulates-expression	1.0
TF_19	G_966	upregulates-expression	1.0
TF_19	G_716	upregulates-expression	1.0
TF_19	G_895	upregulates-expression	1.0
TF_19	G_336	upregulates-expression	1.0
TF_19	G_981	upregulates-expression	1.0
TF_19	G_506	upregulates-expression	1.0
TF_19	G_801	upregulates-expression	1.0
TF_19	G_231	upregulates-expression	1.0
TF_19	G_757	upregulates-expression	1.0
TF_19	G_483	upregulates-expression	1.0
TF_19	G_208	upregulates-expression	1.0
TF_19	G_52	upregulates-expression	1.0
TF_19	G_502	upregulates-expression	1.0
TF_19	G_497	upregulates-expression	1.0
TF_19	G_991	upregulates-expression	1.0
TF_19	G_430	upregulates-expression	1.0
TF_19	G_690	upregulates-expression	1.0
TF_19	G_254	upregulates-expression	1.0
TF_19	G_198	upregulates-expression	1.0
TF_19	G_242	upregulates-expression	1.0
TF_19	G_575	upregulates-expression	1.0
TF_19	G_623	upregulates-expression	1.0
TF_19	G_727	upregulates-expression	1.0
TF_19	G_42	upregulates-expression	1.0
TF_19	G_629	downregulates-expression	1.0
TF_19	G_426	downregulates-expression	1.0
TF_19	G_416	downregulates-expression	1.0
TF_19	G_167	downregulates-expression	1.0
TF_19	G_316	downregulates-expression	1.0
TF_19	G_65	downregulates-expression	1.0
TF_19	G_882	downregulates-expression	1.0
TF_19	G_393	downregulates-expression	1.0
TF_19	G_210	downregulates-expression	1.0
TF_20	G_705	upregulates-expression	1.0
TF_20	G_97	upregulates-expression	1.0
TF_20	G_732	upregulates-expression	1.0
TF_20	G_74	upregulates-expression	1.0
TF_20	G_377	upregulates-expression	1.0
TF_20	G_973	upregulates-expression	1.0
TF_20	G_856	upregulates-expression	1.0
TF_20	G_373	upregulates-expression	1.0
TF_20	G_460	upregulates-expression	1.0
TF_20	G_912	upregulates-expression	1.0
TF_20	G_811	upregulates-expression	1.0
TF_20	G_531	upregulates-expression	1.0
TF_20	G_275	upregulates-expression	1.0
TF_20	G_429	upregulates-expression	1.0
TF_20	G_371	upregulates-expression	1.0
TF_20	G_426	upregulates-expression	1.0
TF_20	G_82	upregulates-expression	1.0
TF_20	G_336	downregulates-expression	1.0
TF_20	G_900	downregulates-expression	1.0
TF_20	G_134	downregulates-expression	1.0
TF_20	G_309	downregulates-expression	1.0
TF_20	G_788	downregulates-expression	1.0
TF_20	G_827	downregulates-expression	1.0
TF_20	G_89	downregulates-expression	1.0
TF_20	G_696	downregulates-expression	1.0
TF_20	G_384	downregulates-expression	1.0
TF_20	G_350	downregulates-expression	1.0
TF_20	G_506	downregulates-expression	1.0
TF_21	G_302	upregulates-expression	1.0
TF_21	G_709	upregulates-expression	1.0
TF_21	G_59	upregulates-expression	1.0
TF_21	G_914	upregulates-expression	1.0
TF_21	G_588	upregulates-expression	1.0
TF_21	G_868	upregulates-expression	1.0
TF_21	G_891	upregulates-expression	1.0
TF_21	G_607	upregulates-expression	1.0
TF_21	G_68	upregulates-expression	1.0
TF_21	G_226	upregulates-expression	1.0
TF_21	G_277	upregulates-expression	1.0
TF_21	G_14	upregulates-expression	1.0
TF_21	G_953	upregulates-expression	1.0
TF_21	G_115	upregulates-expression	1.0
TF_21	G_865	upregulates-expression	1.0
TF_21	G_446	upregulates-expression	1.0
TF_21	G_17	upregulates-expression	1.0
TF_21	G_69	upregulates-expression	1.0
TF_21	G_457	upregulates-expression	1.0
TF_21	G_191	upregulates-expression	1.0
TF_21	G_202	downregulates-expression	1.0
TF_21	G_734	downregulates-expression	1.0
TF_21	G_125	downregulates-expression	1.0
TF_21	G_31	downregulates-expression	1.0
TF_21	G_907	downregulates-expression	1.0
TF_21	G_560	downregulates-expression	1.0
TF_21	G_805	downregulates-expression	1.0
TF_21	G_416	downregulates-expression	1.0
TF_21	G_140	downregulates-expression	1.0
TF_21	G_861	downregulates-expression	1.0
TF_21	G_464	downregulates-expression	1.0
TF_21	G_10	downregulates-expression	1.0
TF_21	G_163	downregulates-expression	1.0
TF_22	G_990	upregulates-expression	1.0
TF_22	G_342	upregulates-expression	1.0
TF_22	G_711	upregulates-expression	1.0
TF_22	G_14	upregulates-expression	1.0
TF_22	G_595	upregulates-expression	1.0
TF_22	G_305	upregulates-expression	1.0
TF_22	G_324	upregulates-expression	1.0
TF_22	G_34	upregulates-expression	1.0
TF_22	G_884	upregulates-expression	1.0
TF_22	G_888	upregulates-expression	1.0
TF_22	G_99	upregulates-expression	1.0
TF_22	G_633	upregulates-expression	1.0
TF_22	G_269	upregulates-expression	1.0
TF_22	G_286	downregulates-expression	1.0
TF_22	G_820	downregulates-expression	1.0
TF_22	G_230	downregulates-expression	1.0
TF_22	G_693	downregulates-expression	1.0
TF_22	G_559	downregulates-expression	1.0
TF_22	G_304	downregulates-expression	1.0
TF_22	G_455	downregulates-expression	1.0
TF_22	G_956	downregulates-expression	1.0
TF_22	G_999	downregulates-expression	1.0
TF_22	G_804	downregulates-expression	1.0
TF_22	G_495	downregulates-expression	1.0
TF_22	G_602	downregulates-expression	1.0
TF_23	G_926	upregulates-expression	1.0
TF_23	G_997	upregulates-expression	1.0
TF_23	G_729	upregulates-expression	1.0
TF_23	G_682	upregulates-expression	1.0
TF_23	G_216	upregulates-expression	1.0
TF_23	G_81	upregulates-expression	1.0
TF_23	G_104	upregulates-expression	1.0
