	TF_1	TF_2	TF_3	TF_4	TF_5	TF_6	TF_7	TF_8	TF_9	TF_10	TF_11	TF_12	TF_13	TF_14	TF_15	TF_16	TF_17	TF_18	TF_19	TF_20	TF_21	TF_22	TF_23	TF_24	TF_25	TF_26	TF_27	TF_28	TF_29	TF_30	TF_31	TF_32	TF_33	TF_34	TF_35	TF_36	TF_37	TF_38	TF_39	TF_40	TF_41	TF_42	TF_43	TF_44	TF_45	TF_46	TF_47	TF_48	TF_49	TF_50	TF_51	TF_52	TF_53	TF_54	TF_55	TF_56	TF_57	TF_58	TF_59	TF_60	TF_61	TF_62	TF_63	TF_64	TF_65	TF_66	TF_67	TF_68	TF_69	TF_70	TF_71	TF_72	TF_73	TF_74	TF_75	TF_76	TF_77	TF_78	TF_79	TF_80	TF_81	TF_82	TF_83	TF_84	TF_85	TF_86	TF_87	TF_88	TF_89	TF_90	TF_91	TF_92	TF_93	TF_94	TF_95	TF_96	TF_97	TF_98	TF_99	TF_100
Cell_11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	-1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0
Cell_12	1	0	0	0	0	-1	-1	0	0	-1	0	0	0	0	0	1	0	-1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	-1	0	-1	0	1	0	0	0	0	-1	0	0	0	0	0	0	0	-1	1	0	0	1	1	1	0	0	1	-1	0	0	-1	-1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0
Cell_13	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	-1	0	0	0	0	-1	0	1	0	0	0	0	0	1	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	0	1	-1	0	0
Cell_14	0	0	-1	0	0	0	0	0	1	0	0	0	0	1	-1	-1	0	1	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	1	0	0	0	0	1	0	0	-1	0	0	1	0	-1	-1	1	0	0	-1	1	0	0	0	1	0	-1	0	0	0	0
Cell_15	0	1	0	0	0	0	0	1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	-1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	-1	0	0	0	0	1	-1	-1	0	1	-1	0	0	0	1	0	0	0	0	0	0	0	-1	0
Cell_16	0	-1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	0	0	0	0	1	-1	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-1	0	0	0
Cell_17	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	0	0	1	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1
Cell_18	0	0	0	0	0	0	1	0	0	0	-1	0	0	-1	-1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	1	0	1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	0
Cell_19	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1
Cell_20	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-1	0	1	0	0	1	0	-1	-1	0	0	-1	0	0	0	-1	-1	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
Cell_21	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	-1	0	0	0	1	0	0	0	0	-1	0	0	1	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	-1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	1	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	0	0	0	1	0	0	0
Cell_22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-1	1	0	0	0	1	0	0	-1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	1	0	0	1	0	0	0
Cell_23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-1	0	0	0	0	0	0	1	1	0	0	0	1	-1	0	0	0	0	-1	0	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	0	0	0	1	-1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	0	1	0	1	1	0
Cell_24	0	0	0	0	0	0	0	0	-1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	0	1	0	1	-1	0	0	1	0	0	1	1	1	0	0	0	-1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	1	0	0	0	-1	0	-1
Cell_25	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	0	0	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	1	0	0	-1	0	0	0	0
Cell_26	1	0	0	-1	0	1	0	0	0	0	-1	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	1	0	-1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	-1	1	-1	0	-1	0	0	0	0	0	0	0	-1	1	0	0	0
Cell_27	0	0	0	0	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-1
Cell_28	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	1	0	0	-1	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Cell_29	0	0	1	0	0	0	0	0	0	0	1	-1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	1	0	0	0	0	0	0	0	1	-1	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
Cell_30	0	-1	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	-1	0	-1	0	-1	1	0	-1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	-1	-1	0	0	0	0	0	0	0	0	1
Cell_31	0	0	0	0	1	0	0	0	1	0	0	0	0	0	-1	0	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Cell_32	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	1	1	0	0	0	1	-1	-1	0	0	0	1	0	0	0	-1	0	0	1	0	0	0	0	0	1	1	0	-1	0	0	0	0	0	0	1	0	-1	0	0	-1	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	-1	0	0	1	0	0	0	0	0	1	0	0
Cell_33	0	0	0	-1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	1	0	0	-1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	-1	0	0	0	0	0	0	0	0	1
Cell_34	0	0	0	0	-1	1	1	1	0	1	0	0	0	0	0	-1	0	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	1	0	0	0	0	1	0	0	-1	0	0	-1	0	0	0	0	0	0	0	0	0	0	1	-1	0	1	0	0	0
Cell_35	1	0	0	0	-1	0	0	0	0	0	0	0	-1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	-1	0	0	0	1	-1	0	0	1	0	0	0	1	-1	0	0	0	0	0	-1	0	0	1	1	0	0	-1	0	1	0	0	0	1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Cell_36	0	0	1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	-1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	-1	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
Cell_37	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	-1	0	0	1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-1	0	1	0	0	0	0	1	-1	1	0	0	0	0	1	1	0
Cell_38	0	0	0	0	1	0	0	0	0	0	0	0	-1	0	0	-1	-1	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	1	0	0	0	0	-1	0	-1	0	-1	0	0	1	-1	-1	0	0	0	0	0
Cell_39	1	0	0	0	1	0	0	0	-1	0	0	-1	0	-1	0	0	-1	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0
Cell_40	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	-1	0	0	1	0	0	0	0	0	0	1	0	-1	1	1	-1	0	-1
Cell_41	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	0	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	1	0	-1	-1	0	0	0	0	0	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	0
Cell_42	0	0	0	0	0	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	-1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	-1	0	0	0	0	0	1	0	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	-1	0	-1	0	-1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Cell_43	0	0	0	0	-1	0	0	1	0	-1	0	0	0	0	0	0	-1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-1	0	0	0	1	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	-1	0	-1	0	0	-1	0	1	1	1	0	0	0	0	0	0	0
Cell_44	0	0	0	0	1	0	0	0	-1	0	0	0	0	0	1	0	0	-1	0	0	0	0	0	1	-1	0	1	0	0	0	-1	0	-1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	-1	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cell_45	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	-1	-1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	-1	0	0	0	0	0	-1	0	1	-1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cell_46	1	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	1	-1	0	0	0	1	1	-1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	-1	0	0	-1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	-1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
Cell_47	0	0	0	0	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	-1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cell_48	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	-1	1	0	0	0	-1	0	0	0	-1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	-1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	-1	0	1	0	1	1	-1	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Cell_49	-1	0	1	0	0	0	0	0	0	0	0	0	-1	0	0	1	0	0	0	0	0	0	0	-1	-1	0	0	-1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	1	0	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0
Cell_50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	0	-1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-1	0	0	0	0
Cell_51	0	0	0	0	1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	1	1	0	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	1	0	-1	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0
Cell_52	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	1	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	-1	0	-1	0	0	0	0	0	-1	0	0	0	1	0	1	0	1	0	0	0	-1	1	0	1	-1	1	0	-1	0	0	0	0	0	-1	-1	0	-1	0	0
Cell_53	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	-1	0	0	1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	1	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	-1	1
Cell_54	-1	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0	1	-1	0	1	-1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	-1	0	-1	0	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	-1	0	0	1	0	0	-1	0	0	0	0	0	0	-1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1	1
Cell_55	-1	0	0	-1	0	0	0	0	0	0	-1	0	0	0	0	0	1	0	0	-1	0	-1	0	-1	-1	0	0	0	0	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	0	-1	0	0	0	0	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	-1	0	0	0	0	-1	1	0	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	1	-1
Cell_56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	0	0	-1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	-1	0	0	0	0
Cell_57	0	1	0	0	0	0	1	0	-1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	-1	-1	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	0	0	-1	0	1	1	0	0	0	0	0	0	0	0	0	0	-1	0	1
Cell_58	0	1	1	0	0	0	0	0	1	0	0	0	0	-1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	1	0	-1	0	1	0	0	0	0	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	0	-1
Cell_59	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	1	-1	0	0	0	0	0	0	0	0	-1	0	0	-1	0	-1	0	1	0	1	0	0	0	0	0	-1	1	0	0	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	-1	1
Cell_60	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	1	0	0	-1	0	0	0	0	1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-1
